round,sequence_index,global_sequence_index,arm,randomized_order_seed,timestamp,selected_c03_path,detector_mode,threads,threads_batch,cpu_mask,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,decode_tps,n_tokens,temp_start_c,temp_end_c,total_migrations,total_ctx_switches,freq_big_avg_mhz,freq_compact_avg_mhz,freq_all_avg_mhz,t_request_sent_ns,t_internal_phase_ns,t_marker_seen_ns,t_external_detect_ns,detect_vs_internal_ms,environment_file,detector_file,phase_log,server_log
1,1,1,ALL_CORES,3305,2026-08-27T14:24:15Z,CROSS_VENDOR,zero_shot,12,12,"0,1,2,3,4,5,6,7,8,9,10,11",8731.606,94.711,100.114,101.622,10.486,256,62.25,78.125,427,3501,4951.9,3306.7,3855.3,1467170142900,1475902256497,1475903214287,,,raw/environment/env_20260827T142308Z.json,raw/detector/round_01_seq_01_all_cores.json,raw/phase_logs/round_01_seq_01_all_cores.json,raw/server_logs/round_01_seq_01_all_cores.log
1,2,2,BIG_ONLY,3305,2026-08-27T14:25:31Z,CROSS_VENDOR,zero_shot,4,4,"0,1,2,3",15172.982,104.446,106.536,107.414,9.556,256,54.75,81.75,12,1715,4952.3,1117.8,2416.3,1533827343930,1549000885626,1549001269506,,,raw/environment/env_20260827T142308Z.json,raw/detector/round_01_seq_02_big_only.json,raw/phase_logs/round_01_seq_02_big_only.json,raw/server_logs/round_01_seq_02_big_only.log
2,1,3,BIG_ONLY,3306,2026-08-27T14:26:47Z,CROSS_VENDOR,zero_shot,4,4,"0,1,2,3",15220.956,105.521,107.716,108.658,9.455,256,53.875,80.375,12,1682,4951.7,1123.2,2400.2,1609237535995,1624459034127,1624459687007,,,raw/environment/env_20260827T142308Z.json,raw/detector/round_02_seq_01_big_only.json,raw/phase_logs/round_02_seq_01_big_only.json,raw/server_logs/round_02_seq_01_big_only.log
2,2,4,ALL_CORES,3306,2026-08-27T14:27:54Z,CROSS_VENDOR,zero_shot,12,12,"0,1,2,3,4,5,6,7,8,9,10,11",9647.407,93.549,98.456,101.372,10.612,256,51.875,77.625,557,5610,4971.3,3204.0,3791.7,1685080136499,1694726807085,1694727895374,,,raw/environment/env_20260827T142308Z.json,raw/detector/round_02_seq_02_all_cores.json,raw/phase_logs/round_02_seq_02_all_cores.json,raw/server_logs/round_02_seq_02_all_cores.log
3,1,5,BIG_ONLY,3307,2026-09-03T21:38:07Z,CROSS_VENDOR,zero_shot,4,4,"0,1,2,3",15558.987,106.025,108.241,109.737,9.413,256,57.25,81.625,26,1829,4904.4,1103.8,2382.8,11709407453153,11724966959106,11724968961155,,,raw/environment/env_20260903T213650Z.json,raw/detector/round_03_seq_01_big_only.json,raw/phase_logs/round_03_seq_01_big_only.json,raw/server_logs/round_03_seq_01_big_only.log
3,2,6,ALL_CORES,3307,2026-09-03T21:39:14Z,CROSS_VENDOR,zero_shot,12,12,"0,1,2,3,4,5,6,7,8,9,10,11",9016.723,94.873,99.171,102.742,10.473,256,51.125,78.0,281,3637,4934.3,3275.0,3828.2,11785830185241,11794847660824,11794848576418,,,raw/environment/env_20260903T213650Z.json,raw/detector/round_03_seq_02_all_cores.json,raw/phase_logs/round_03_seq_02_all_cores.json,raw/server_logs/round_03_seq_02_all_cores.log
4,1,7,ALL_CORES,3308,2026-09-03T21:40:21Z,CROSS_VENDOR,zero_shot,12,12,"0,1,2,3,4,5,6,7,8,9,10,11",8861.237,97.364,103.6,105.759,10.217,256,53.0,78.375,319,3572,4943.5,3281.8,3834.8,11852973552226,11861835299925,11861836072308,,,raw/environment/env_20260903T213650Z.json,raw/detector/round_04_seq_01_all_cores.json,raw/phase_logs/round_04_seq_01_all_cores.json,raw/server_logs/round_04_seq_01_all_cores.log
4,2,8,BIG_ONLY,3308,2026-09-03T21:41:37Z,CROSS_VENDOR,zero_shot,4,4,"0,1,2,3",15326.106,105.601,108.338,109.157,9.443,256,54.875,81.25,3,1693,4921.1,1179.5,2437.2,11920322307734,11935648897650,11935649197740,,,raw/environment/env_20260903T213650Z.json,raw/detector/round_04_seq_02_big_only.json,raw/phase_logs/round_04_seq_02_big_only.json,raw/server_logs/round_04_seq_02_big_only.log
5,1,9,BIG_ONLY,3309,2026-09-03T21:42:53Z,CROSS_VENDOR,zero_shot,4,4,"0,1,2,3",15367.092,106.509,109.108,110.104,9.362,256,54.375,82.125,8,1678,4919.2,1294.0,2502.2,11996270318028,12011637924781,12011638135872,,,raw/environment/env_20260903T213650Z.json,raw/detector/round_05_seq_01_big_only.json,raw/phase_logs/round_05_seq_01_big_only.json,raw/server_logs/round_05_seq_01_big_only.log
5,2,10,ALL_CORES,3309,2026-09-03T21:44:01Z,CROSS_VENDOR,zero_shot,12,12,"0,1,2,3,4,5,6,7,8,9,10,11",9080.331,95.718,101.771,104.355,10.394,256,53.125,78.375,392,4265,4960.9,3267.4,3831.6,12072423207349,12081504310422,12081505178713,,,raw/environment/env_20260903T213650Z.json,raw/detector/round_05_seq_02_all_cores.json,raw/phase_logs/round_05_seq_02_all_cores.json,raw/server_logs/round_05_seq_02_all_cores.log
6,1,11,BIG_ONLY,3310,2026-09-03T21:45:19Z,CROSS_VENDOR,zero_shot,4,4,"0,1,2,3",15980.405,111.24,114.394,115.531,8.948,256,55.25,80.125,23,1785,4931.5,1365.4,2565.9,12139557783195,12155538998234,12155539860724,,,raw/environment/env_20260903T213650Z.json,raw/detector/round_06_seq_01_big_only.json,raw/phase_logs/round_06_seq_01_big_only.json,raw/server_logs/round_06_seq_01_big_only.log
