arm,round,run_seq,timestamp,cpus,threads,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,itl_mean_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,temp_delta_c,migrations,ctx_switches,threads_seen,freq_p_avg_mhz,freq_p_busy_mhz,freq_e_avg_mhz,seed,n_predict,ctx,batch,ubatch
C_4core_1to1,1,1,2026-07-18T20:45:45,"0,2,4,6",4,18025.727,108.613,117.47,118.362,119.107,110.809,9.025,256,496,55.0,80.0,25.0,639,890803,30,2152.1,3534.7,1006.8,42,256,2048,2048,512
A_4core_smt,1,2,2026-07-18T20:47:03,0-7,8,17714.542,106.717,107.732,108.362,109.515,106.727,9.37,256,496,56.0,85.0,29.0,1029581,2382352,34,2768.7,4626.6,863.8,42,256,2048,2048,512
B_4core_nosmt,1,3,2026-07-18T20:48:26,"0,2,4,6",8,18233.227,119.779,129.632,131.087,131.309,121.77,8.212,256,496,56.0,75.0,19.0,669766,2616130,34,2046.6,3351.4,837.2,42,256,2048,2048,512
D_8core_ref,1,4,2026-07-18T20:49:32,0-15,8,10939.358,85.952,86.716,90.672,94.607,86.154,11.607,256,496,55.0,76.0,21.0,2346,2018012,34,2738.8,4207.5,1013.4,42,256,2048,2048,512
D_8core_ref,2,5,2026-07-18T20:50:38,0-15,8,10914.225,85.69,85.963,86.222,87.411,85.711,11.667,256,496,56.0,77.0,21.0,2887,2029894,34,2715.8,4165.3,1080.6,42,256,2048,2048,512
C_4core_1to1,2,6,2026-07-18T20:51:57,"0,2,4,6",4,17960.77,108.077,117.189,117.318,117.492,110.167,9.077,256,496,56.0,80.0,24.0,579,890029,30,2055.3,3340.3,854.0,42,256,2048,2048,512
A_4core_smt,2,7,2026-07-18T20:53:15,0-7,8,17662.418,106.669,107.765,108.03,108.805,106.729,9.37,256,496,56.0,81.0,25.0,1031202,2377114,34,2756.7,4625.5,856.4,42,256,2048,2048,512
B_4core_nosmt,2,8,2026-07-18T20:54:38,"0,2,4,6",8,18201.007,119.86,129.358,130.478,130.704,121.684,8.218,256,496,56.0,78.0,22.0,666137,2617807,34,2049.1,3319.1,859.6,42,256,2048,2048,512
C_4core_1to1,3,9,2026-07-18T20:55:57,"0,2,4,6",4,17973.759,108.305,117.434,117.77,117.903,110.589,9.042,256,496,56.0,81.0,25.0,585,898919,30,2061.2,3348.3,866.2,42,256,2048,2048,512
D_8core_ref,3,10,2026-07-18T20:57:04,0-15,8,10946.284,85.964,86.196,86.34,86.859,85.967,11.632,256,496,56.0,77.0,21.0,2464,2035272,34,2735.8,4219.7,935.8,42,256,2048,2048,512
A_4core_smt,3,11,2026-07-18T20:58:22,0-7,8,17697.161,106.484,107.552,108.101,108.139,106.537,9.386,256,496,56.0,80.0,24.0,1030271,2381560,34,2755.1,4632.6,860.4,42,256,2048,2048,512
B_4core_nosmt,3,12,2026-07-18T20:59:44,"0,2,4,6",8,18225.995,120.428,129.081,130.599,131.88,121.996,8.197,256,496,56.0,76.0,20.0,667154,2616310,34,2065.6,3367.9,841.8,42,256,2048,2048,512
B_4core_nosmt,4,13,2026-07-18T21:01:07,"0,2,4,6",8,18243.499,120.248,129.648,130.377,131.247,121.841,8.207,256,496,56.0,76.0,20.0,667497,2615751,34,2049.7,3344.2,835.1,42,256,2048,2048,512
A_4core_smt,4,14,2026-07-18T21:02:25,0-7,8,17577.943,106.439,107.471,107.89,108.416,106.49,9.391,256,496,56.0,78.0,22.0,1029355,2382625,34,2769.6,4630.1,817.6,42,256,2048,2048,512
C_4core_1to1,4,15,2026-07-18T21:03:44,"0,2,4,6",4,17974.417,108.061,117.077,117.21,117.345,110.413,9.057,256,496,55.0,78.0,23.0,627,886438,30,2067.4,3367.9,821.7,42,256,2048,2048,512
D_8core_ref,4,16,2026-07-18T21:04:51,0-15,8,10948.186,86.193,86.495,90.216,93.34,86.36,11.579,256,496,57.0,77.0,20.0,2583,2055170,34,2725.8,4195.6,936.3,42,256,2048,2048,512
C_4core_1to1,5,17,2026-07-18T21:06:10,"0,2,4,6",4,18010.15,108.329,117.579,117.741,117.928,111.016,9.008,256,496,57.0,80.0,23.0,624,891884,30,2061.4,3356.9,845.7,42,256,2048,2048,512
B_4core_nosmt,5,18,2026-07-18T21:07:33,"0,2,4,6",8,18252.715,120.022,129.695,130.84,133.241,121.793,8.211,256,496,55.0,77.0,22.0,671725,2614843,34,2047.3,3325.9,851.9,42,256,2048,2048,512
A_4core_smt,5,19,2026-07-18T21:08:51,0-7,8,17604.927,106.555,107.546,108.006,108.439,106.598,9.381,256,496,55.0,81.0,26.0,1032613,2379713,34,2750.4,4622.9,841.0,42,256,2048,2048,512
D_8core_ref,5,20,2026-07-18T21:09:57,0-15,8,10866.848,85.911,89.425,90.072,95.684,86.237,11.596,256,496,56.0,74.0,18.0,2200,2027509,34,2745.1,4222.5,957.1,42,256,2048,2048,512
A_4core_smt,6,21,2026-07-18T21:11:15,0-7,8,17674.165,106.502,107.462,107.847,107.957,106.549,9.385,256,496,56.0,78.0,22.0,1029328,2385256,34,2768.3,4625.6,824.1,42,256,2048,2048,512
C_4core_1to1,6,22,2026-07-18T21:12:35,"0,2,4,6",4,17953.961,108.169,115.463,117.46,120.594,110.379,9.06,256,496,56.0,78.0,22.0,699,891293,30,2053.2,3357.5,811.0,42,256,2048,2048,512
D_8core_ref,6,23,2026-07-18T21:13:41,0-15,8,10957.941,85.795,86.405,91.705,95.874,86.032,11.624,256,496,56.0,75.0,19.0,2651,2030758,34,2723.0,4196.2,949.4,42,256,2048,2048,512
B_4core_nosmt,6,24,2026-07-18T21:15:04,"0,2,4,6",8,18237.485,120.129,129.827,131.36,135.063,121.931,8.201,256,496,56.0,81.0,25.0,669939,2616531,34,2046.1,3307.1,929.1,42,256,2048,2048,512
