arm,round,timestamp,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,decode_tps,n_tokens,energy_j,j_per_token,build_wall_s,build_passes,build_rate,total_migrations,temp_start_c,temp_end_c,switch_detected
P8_E6,1,2026-07-20T10:40:18,13054.58,123.715,282.667,316.951,6.813,256,4384.3,17.126,52.48,17,0.3239,1029398,59.0,82.0,True
C_P8_E8,1,2026-07-20T10:41:44,12698.78,121.849,277.335,330.367,6.914,256,4300.1,16.797,51.58,17,0.3296,1238686,60.0,82.0,True
SWITCH,1,2026-07-20T10:43:05,12580.29,108.649,247.632,264.796,7.787,256,3958.6,15.463,47.33,16,0.3381,378174,61.0,85.0,True
P8_E4,1,2026-07-20T10:44:29,13091.85,119.649,272.28,293.624,7.118,256,4256.5,16.627,50.92,17,0.3339,659899,62.0,83.0,True
A_P8,1,2026-07-20T10:45:52,14190.35,109.803,250.809,266.604,7.758,256,4109.7,16.053,49.06,17,0.3465,375611,62.0,86.0,True
P8_E2,1,2026-07-20T10:47:16,13703.57,115.091,268.062,297.749,7.392,256,4201.6,16.412,50.2,17,0.3386,502543,63.0,87.0,True
C_P8_E8,2,2026-07-20T10:48:41,12609.88,121.527,288.958,329.147,6.935,256,4279.3,16.716,51.38,17,0.3309,1210961,62.0,80.0,True
A_P8,2,2026-07-20T10:50:04,14568.92,109.039,252.262,272.578,7.754,256,4145.7,16.194,49.46,17,0.3437,373290,65.0,89.0,True
SWITCH,2,2026-07-20T10:51:25,12643.42,109.551,245.656,273.039,7.781,256,3966.6,15.495,47.42,16,0.3374,362873,63.0,84.0,True
P8_E6,2,2026-07-20T10:52:51,13127.01,121.946,276.065,324.382,6.981,256,4301.6,16.803,51.66,17,0.3291,975943,63.0,86.0,True
P8_E2,2,2026-07-20T10:54:14,13944.67,112.755,266.622,309.075,7.441,256,4201.9,16.414,50.22,17,0.3385,473380,63.0,84.0,True
P8_E4,2,2026-07-20T10:55:39,13112.85,118.539,267.41,303.599,7.166,256,4231.7,16.53,50.7,16,0.3156,645602,63.0,86.0,True
P8_E6,3,2026-07-20T10:57:05,13085.7,120.947,288.498,326.182,6.877,256,4349.0,16.988,52.17,17,0.3259,992107,64.0,86.0,True
C_P8_E8,3,2026-07-20T10:58:30,12614.28,122.221,294.812,319.842,6.915,256,4305.5,16.818,51.49,17,0.3302,1214155,63.0,85.0,True
P8_E4,3,2026-07-20T10:59:55,13194.3,119.41,276.739,324.379,7.06,256,4296.4,16.783,51.32,17,0.3313,666752,64.0,84.0,True
SWITCH,3,2026-07-20T11:01:15,12686.38,107.33,247.316,277.293,7.927,256,3916.4,15.298,46.86,16,0.3414,364106,65.0,85.0,True
P8_E2,3,2026-07-20T11:02:39,13969.01,112.543,268.785,287.577,7.476,256,4192.1,16.375,50.08,17,0.3395,482812,63.0,84.0,True
A_P8,3,2026-07-20T11:04:01,14388.13,108.739,247.867,274.97,7.867,256,4093.0,15.988,48.81,17,0.3483,359023,63.0,86.0,True
P8_E6,4,2026-07-20T11:05:27,13097.77,121.574,275.454,305.472,7.001,256,4302.4,16.806,51.53,17,0.3299,973326,63.0,85.0,True
P8_E4,4,2026-07-20T11:06:52,13198.36,119.218,277.601,309.654,7.126,256,4260.0,16.641,50.98,17,0.3335,651903,64.0,87.0,True
C_P8_E8,4,2026-07-20T11:08:17,12641.5,122.18,278.097,328.232,6.924,256,4299.2,16.794,51.47,17,0.3303,1213520,65.0,86.0,True
SWITCH,4,2026-07-20T11:09:37,12669.76,107.614,251.649,265.628,7.911,256,3917.0,15.301,46.91,16,0.3411,366553,64.0,88.0,True
P8_E2,4,2026-07-20T11:11:01,13738.53,111.989,267.767,291.451,7.449,256,4181.8,16.335,49.98,16,0.3201,484783,63.0,87.0,True
A_P8,4,2026-07-20T11:12:24,14485.21,109.079,249.708,265.481,7.845,256,4108.3,16.048,48.99,17,0.347,378653,65.0,84.0,True
P8_E6,5,2026-07-20T11:13:49,13083.49,122.061,283.245,315.823,7.017,256,4306.3,16.821,51.42,17,0.3306,976041,63.0,83.0,True
SWITCH,5,2026-07-20T11:15:10,12397.97,108.608,252.605,275.565,7.729,256,3962.8,15.48,47.39,16,0.3376,377950,63.0,86.0,True
A_P8,5,2026-07-20T11:16:33,14453.27,107.065,247.759,266.618,7.913,256,4081.2,15.942,48.68,17,0.3492,360860,65.0,86.0,True
P8_E2,5,2026-07-20T11:17:57,13818.5,115.416,270.196,290.733,7.314,256,4248.8,16.597,50.69,17,0.3354,504222,63.0,86.0,True
C_P8_E8,5,2026-07-20T11:19:22,12614.86,121.598,279.167,321.391,6.915,256,4290.3,16.759,51.49,17,0.3302,1232932,64.0,86.0,True
P8_E4,5,2026-07-20T11:20:48,13244.45,120.456,275.365,325.503,6.927,256,4353.2,17.005,52.06,17,0.3265,689077,64.0,84.0,True
P8_E6,6,2026-07-20T11:22:13,13010.03,121.501,278.969,326.961,6.973,256,4309.8,16.835,51.58,17,0.3296,976055,65.0,87.0,True
C_P8_E8,6,2026-07-20T11:23:39,12675.62,122.353,293.762,333.864,6.9,256,4303.0,16.809,51.63,17,0.3293,1218474,64.0,86.0,True
P8_E2,6,2026-07-20T11:25:03,13768.91,114.219,275.141,312.404,7.392,256,4211.0,16.449,50.27,17,0.3382,490848,63.0,86.0,True
A_P8,6,2026-07-20T11:26:25,14189.37,108.024,256.408,288.234,7.833,256,4083.5,15.951,48.75,17,0.3487,362331,64.0,85.0,True
P8_E4,6,2026-07-20T11:27:50,13232.28,117.999,276.802,310.031,7.114,256,4276.0,16.703,51.08,17,0.3328,646795,64.0,84.0,True
SWITCH,6,2026-07-20T11:29:10,12602.43,107.988,246.877,266.132,7.884,256,3925.9,15.336,46.95,16,0.3408,373520,64.0,85.0,True
