arm,round,timestamp,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,decode_tps,n_tokens,energy_j,j_per_token,total_migrations,temp_start_c,temp_end_c,switch_detected,switch_lead_ms
A_APP,1,2026-07-19T22:22:11,9830.18,87.65,90.664,93.323,96.545,11.36,256,2732.1,10.672,1751,60.0,81.0,True,-111.4
B_DAEMON,1,2026-07-19T22:23:17,9829.28,86.899,88.018,89.045,92.623,11.491,256,2709.2,10.583,10987,60.0,82.0,True,-115.8
B_DAEMON,2,2026-07-19T22:24:24,9842.02,87.533,101.829,106.211,112.477,11.101,256,2773.9,10.836,40709,62.0,83.0,True,-124.1
A_APP,2,2026-07-19T22:25:29,9802.33,86.775,87.959,89.178,90.322,11.499,256,2706.2,10.571,1148,62.0,81.0,True,-109.5
A_APP,3,2026-07-19T22:26:37,10288.67,92.793,99.866,104.778,106.256,10.723,256,2871.9,11.218,5633,62.0,85.0,True,-136.5
B_DAEMON,3,2026-07-19T22:27:45,10383.55,88.862,94.628,100.694,112.045,11.108,256,2805.5,10.959,20920,64.0,85.0,True,-125.6
A_APP,4,2026-07-19T22:28:51,9880.09,87.661,90.296,92.932,115.102,11.353,256,2730.7,10.667,1075,63.0,84.0,True,-116.0
B_DAEMON,4,2026-07-19T22:29:58,9992.44,90.277,95.308,100.43,104.531,11.008,256,2799.6,10.936,36642,63.0,84.0,True,-125.2
A_APP,5,2026-07-19T22:31:05,9974.8,88.438,100.185,115.024,124.12,11.085,256,2781.3,10.865,401,64.0,81.0,True,-110.0
B_DAEMON,5,2026-07-19T22:32:11,9767.31,86.958,88.076,89.933,91.444,11.474,256,2707.0,10.574,8860,64.0,85.0,True,-106.5
A_APP,6,2026-07-19T22:33:16,9715.54,86.685,87.853,89.569,99.42,11.504,256,2699.3,10.544,2069,63.0,82.0,True,-107.8
B_DAEMON,6,2026-07-19T22:34:22,9877.25,86.625,87.213,90.184,100.61,11.519,256,2706.9,10.574,8985,62.0,82.0,True,-120.7
