arm,scenario,round,timestamp,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,decode_tps,n_tokens,energy_j,j_per_token,total_migrations,temp_start_c,temp_end_c,switch_detected,build_wall_s
A_P8,build,1,2026-07-19T22:42:46,12425.42,87.927,93.758,99.923,11.258,256,3072.5,12.002,18485,60.0,82.0,True,37.08
SWITCH,build,1,2026-07-19T22:43:55,10614.19,87.965,97.034,102.467,11.201,256,2945.2,11.505,25128,62.0,84.0,True,35.38
C_P8_E8,none,1,2026-07-19T22:45:04,9792.13,99.21,102.591,104.852,10.083,256,2951.0,11.527,161243,62.0,78.0,True,
P8_E6,build,1,2026-07-19T22:46:18,10976.46,100.281,115.983,118.039,9.64,256,3264.0,12.75,191587,63.0,80.0,True,39.43
P8_E4,build,1,2026-07-19T22:47:31,11056.13,102.574,113.367,117.765,9.628,256,3293.7,12.866,98344,63.0,82.0,True,39.54
SWITCH,none,1,2026-07-19T22:48:37,9834.04,87.448,91.73,93.425,11.376,256,2730.1,10.664,13286,62.0,85.0,True,
A_P8,none,1,2026-07-19T22:49:45,11211.67,87.611,89.507,91.756,11.379,256,2859.6,11.17,9944,62.0,84.0,True,
P8_E2,build,1,2026-07-19T22:50:57,11763.72,94.795,103.674,111.601,10.418,256,3179.2,12.419,41448,63.0,84.0,True,38.24
P8_E2,none,1,2026-07-19T22:52:08,11374.74,102.073,108.151,117.556,9.861,256,3151.9,12.312,69522,64.0,82.0,True,
P8_E6,none,1,2026-07-19T22:53:19,10493.95,103.48,113.385,120.366,9.587,256,3120.4,12.189,189894,63.0,80.0,True,
C_P8_E8,build,1,2026-07-19T22:54:33,10564.88,105.44,117.007,122.738,9.457,256,3268.7,12.768,387164,63.0,81.0,True,39.53
P8_E4,none,1,2026-07-19T22:55:43,10415.62,100.148,104.953,107.401,9.954,256,3048.4,11.908,36324,64.0,82.0,True,
A_P8,build,2,2026-07-19T22:56:53,11816.97,87.812,94.035,103.818,11.267,256,3048.8,11.909,21092,64.0,85.0,True,36.45
SWITCH,build,2,2026-07-19T22:58:02,10666.87,87.171,91.978,105.555,11.344,256,2921.6,11.412,17635,64.0,86.0,True,35.15
P8_E6,none,2,2026-07-19T22:59:12,10483.71,97.784,103.423,106.938,10.163,256,2998.0,11.711,64000,63.0,79.0,True,
P8_E4,build,2,2026-07-19T23:00:24,11148.27,98.748,105.972,113.498,10.036,256,3209.7,12.538,37413,63.0,80.0,True,38.56
P8_E4,none,2,2026-07-19T23:01:34,10382.43,99.26,103.074,105.694,10.04,256,3026.0,11.82,29419,64.0,80.0,True,
C_P8_E8,none,2,2026-07-19T23:02:54,10631.72,98.152,103.321,107.962,10.172,256,3019.7,11.796,121832,63.0,85.0,True,
P8_E6,build,2,2026-07-19T23:04:06,11124.84,96.669,100.239,101.424,10.321,256,3135.0,12.246,26591,63.0,85.0,True,37.84
C_P8_E8,build,2,2026-07-19T23:05:17,10575.52,96.325,100.156,105.608,10.365,256,3090.2,12.071,68223,63.0,82.0,True,37.18
A_P8,none,2,2026-07-19T23:06:24,11027.96,86.478,89.367,92.156,11.516,256,2820.2,11.016,4741,62.0,83.0,True,
SWITCH,none,2,2026-07-19T23:07:30,9819.79,86.534,87.136,88.402,11.541,256,2698.1,10.539,7712,63.0,82.0,True,
P8_E2,none,2,2026-07-19T23:08:38,11121.4,92.897,95.702,97.209,10.742,256,2953.1,11.536,14212,62.0,84.0,True,
P8_E2,build,2,2026-07-19T23:09:50,11712.31,92.999,95.48,97.144,10.73,256,3119.2,12.184,15008,63.0,82.0,True,37.48
A_P8,build,3,2026-07-19T23:11:00,11830.84,86.573,91.403,93.279,11.465,256,3008.1,11.75,5598,62.0,86.0,True,36.07
SWITCH,build,3,2026-07-19T23:12:08,10560.05,86.57,90.581,90.862,11.5,256,2886.6,11.276,9588,62.0,86.0,True,34.74
P8_E4,none,3,2026-07-19T23:13:18,10428.92,98.687,102.804,104.614,10.096,256,3017.0,11.785,14600,63.0,82.0,True,
P8_E4,build,3,2026-07-19T23:14:30,11059.11,98.507,101.858,104.888,10.125,256,3178.3,12.415,18248,63.0,81.0,True,38.25
P8_E2,none,3,2026-07-19T23:15:39,11081.44,93.289,98.759,100.406,10.648,256,2969.5,11.6,14088,62.0,80.0,True,
P8_E6,none,3,2026-07-19T23:16:48,10350.09,96.441,101.185,102.682,10.337,256,2952.8,11.534,21520,62.0,78.0,True,
A_P8,none,3,2026-07-19T23:17:55,11086.98,86.23,92.016,93.93,11.41,256,2842.2,11.102,5514,62.0,82.0,True,
P8_E2,build,3,2026-07-19T23:19:06,11827.92,93.138,96.475,110.429,10.668,256,3141.5,12.272,29779,63.0,82.0,True,37.73
C_P8_E8,build,3,2026-07-19T23:20:17,10492.29,95.14,99.228,100.585,10.476,256,3058.7,11.948,59174,62.0,79.0,True,36.84
SWITCH,none,3,2026-07-19T23:21:23,9778.56,86.445,86.974,87.312,11.559,256,2695.2,10.528,7478,61.0,80.0,True,
C_P8_E8,none,3,2026-07-19T23:22:31,9761.32,95.359,99.526,100.754,10.449,256,2894.5,11.307,53578,60.0,79.0,True,
P8_E6,build,3,2026-07-19T23:23:43,11060.32,96.657,100.539,103.576,10.309,256,3149.0,12.301,25043,61.0,79.0,True,37.8
SWITCH,none,4,2026-07-19T23:24:49,9751.26,86.614,87.157,90.361,11.528,256,2698.7,10.542,8141,62.0,84.0,True,
P8_E4,none,4,2026-07-19T23:25:58,10445.98,98.342,102.454,104.12,10.116,256,3017.8,11.788,15318,62.0,80.0,True,
A_P8,build,4,2026-07-19T23:27:08,11787.66,86.643,89.631,94.835,11.489,256,3003.3,11.732,6035,64.0,82.0,True,35.99
A_P8,none,4,2026-07-19T23:28:15,11127.2,86.849,92.814,97.587,11.406,256,2847.1,11.122,9349,62.0,81.0,True,
SWITCH,build,4,2026-07-19T23:29:24,10775.67,86.615,87.668,89.515,11.523,256,2897.3,11.318,8462,64.0,82.0,True,34.91
P8_E2,build,4,2026-07-19T23:30:35,11789.62,93.21,97.337,100.393,10.683,256,3134.7,12.245,15449,63.0,85.0,True,37.66
C_P8_E8,none,4,2026-07-19T23:31:44,9777.13,96.664,103.772,111.358,10.281,256,2918.7,11.401,95714,63.0,80.0,True,
P8_E4,build,4,2026-07-19T23:32:56,11181.04,98.499,101.762,103.05,10.119,256,3192.2,12.469,17129,63.0,80.0,True,38.38
P8_E2,none,4,2026-07-19T23:34:05,11178.6,93.053,95.482,97.707,10.718,256,,,15014,62.0,80.0,True,
C_P8_E8,build,4,2026-07-19T23:35:16,10477.91,96.1,102.832,113.231,10.336,256,3083.5,12.045,88404,62.0,82.0,True,37.15
P8_E6,none,4,2026-07-19T23:36:25,10372.44,96.439,100.065,102.426,10.342,256,2960.2,11.563,22072,62.0,80.0,True,
P8_E6,build,4,2026-07-19T23:37:37,11099.42,96.475,100.683,103.734,10.333,256,3137.8,12.257,24588,62.0,79.0,True,37.78
SWITCH,build,5,2026-07-19T23:38:46,10550.97,86.754,88.084,91.41,11.494,256,2886.4,11.275,8819,62.0,84.0,True,34.74
C_P8_E8,none,5,2026-07-19T23:39:54,9810.92,95.942,99.705,101.664,10.404,256,2901.5,11.334,58446,62.0,78.0,True,
P8_E6,none,5,2026-07-19T23:41:03,10455.36,96.419,100.47,104.771,10.336,256,2958.7,11.557,22222,62.0,81.0,True,
C_P8_E8,build,5,2026-07-19T23:42:14,10432.96,95.977,100.211,109.536,10.378,256,3083.6,12.045,72113,62.0,78.0,True,37.01
A_P8,build,5,2026-07-19T23:43:23,11806.5,86.587,87.249,89.017,11.532,256,2995.1,11.699,5425,62.0,84.0,True,35.92
P8_E2,build,5,2026-07-19T23:44:35,11721.18,93.241,98.444,100.293,10.661,256,3137.0,12.254,16225,62.0,80.0,True,37.64
P8_E4,build,5,2026-07-19T23:45:47,11194.18,98.659,102.803,105.393,10.107,256,3196.9,12.488,16718,62.0,82.0,True,38.43
P8_E2,none,5,2026-07-19T23:46:56,11137.92,92.618,94.887,95.787,10.772,256,2945.2,11.505,13956,62.0,81.0,True,
A_P8,none,5,2026-07-19T23:48:03,11018.09,86.542,92.189,94.477,11.375,256,2841.1,11.098,5205,62.0,82.0,True,
P8_E6,build,5,2026-07-19T23:49:15,11090.11,96.732,100.444,104.241,10.302,256,3138.1,12.258,24769,62.0,82.0,True,37.85
SWITCH,none,5,2026-07-19T23:50:21,9802.27,86.528,86.991,88.091,11.549,256,2698.4,10.541,7057,62.0,83.0,True,
P8_E4,none,5,2026-07-19T23:51:31,10557.24,98.467,102.225,104.653,10.123,256,3020.7,11.799,16499,62.0,80.0,True,
SWITCH,none,6,2026-07-19T23:52:36,9772.51,86.599,90.614,93.161,11.49,256,2704.7,10.565,8559,63.0,84.0,True,
P8_E6,none,6,2026-07-19T23:53:45,10430.65,96.331,100.154,101.935,10.355,256,2941.9,11.492,23217,63.0,80.0,True,
P8_E4,none,6,2026-07-19T23:54:55,10382.26,98.072,101.025,103.085,10.169,256,2998.6,11.713,14491,62.0,81.0,True,
P8_E4,build,6,2026-07-19T23:56:07,11033.03,98.634,102.637,104.323,10.104,256,3183.8,12.437,16963,63.0,82.0,True,38.27
P8_E6,build,6,2026-07-19T23:57:19,11152.47,96.07,100.107,102.32,10.349,256,3140.4,12.267,25632,64.0,80.0,True,37.8
P8_E2,build,6,2026-07-19T23:58:30,11797.34,93.202,95.865,97.923,10.695,256,3137.0,12.254,16744,63.0,84.0,True,37.64
P8_E2,none,6,2026-07-19T23:59:39,11175.3,93.221,95.953,97.299,10.708,256,2964.9,11.582,14639,63.0,82.0,True,
A_P8,build,6,2026-07-20T00:00:49,11874.13,86.675,91.791,95.292,11.409,256,3024.9,11.816,6305,63.0,85.0,True,36.23
C_P8_E8,none,6,2026-07-20T00:01:58,9749.68,96.687,104.451,110.589,10.285,256,2926.8,11.433,93907,63.0,80.0,True,
SWITCH,build,6,2026-07-20T00:03:06,10547.78,86.746,87.609,88.4,11.513,256,2881.1,11.254,8502,63.0,86.0,True,34.7
C_P8_E8,build,6,2026-07-20T00:04:18,10522.24,97.117,102.319,105.107,10.266,256,3088.6,12.065,86080,63.0,79.0,True,37.36
A_P8,none,6,2026-07-20T00:05:25,11068.08,86.589,90.486,93.357,11.496,256,2825.9,11.039,4991,63.0,86.0,True,
