arm,round,timestamp,n_instances,total_decode_tps,inst_tps,inst_ttft_ms,inst_itl_p50_ms,overlap_pct,total_migrations,total_ctx_switches,temp_start_c,temp_end_c,energy_j,wall_s
A_single_8t,1,2026-07-19T00:10:40,1,11.506254312249691,[11.506],[11082.5],[86.63],100.0,5368,2027189,56.0,77.0,2825.3,33.25
B_dual_4t,1,2026-07-19T00:12:18,2,12.285060731439735,"[6.197, 6.088]","[21742.9, 21759.8]","[158.45, 160.23]",100.0,5291,1805010,56.0,86.0,5397.6,63.65
A_single_8t,2,2026-07-19T00:13:24,1,11.616838626650056,[11.617],[11011.6],[85.88],100.0,2538,2034835,56.0,78.0,2799.4,32.96
B_dual_4t,2,2026-07-19T00:15:02,2,12.448114118295523,"[6.268, 6.181]","[21495.7, 21805.9]","[157.81, 158.66]",99.2,3019,1796631,57.0,86.0,5343.9,63.07
A_single_8t,3,2026-07-19T00:16:09,1,11.546194330961992,[11.546],[11050.3],[85.95],100.0,2932,2022057,57.0,78.0,2813.9,33.14
B_dual_4t,3,2026-07-19T00:17:46,2,12.393006657164818,"[6.268, 6.125]","[21562.0, 21815.0]","[158.05, 159.37]",99.4,3551,1791281,57.0,85.0,5370.1,63.45
B_dual_4t,4,2026-07-19T00:19:24,2,12.35505627210027,"[6.201, 6.154]","[21536.7, 21829.3]","[158.28, 158.97]",99.3,3380,1792634,57.0,85.0,5366.8,63.26
A_single_8t,4,2026-07-19T00:20:31,1,11.54347883005164,[11.543],[11010.9],[86.16],100.0,3030,2062057,57.0,78.0,2812.1,33.1
B_dual_4t,5,2026-07-19T00:22:08,2,12.472295727575066,"[6.268, 6.205]","[21488.4, 21736.9]","[157.68, 158.72]",99.4,3021,1796742,57.0,85.0,5328.8,62.84
A_single_8t,5,2026-07-19T00:23:15,1,11.594646191890902,[11.595],[10942.8],[85.8],100.0,2764,2021699,56.0,77.0,2795.8,32.94
A_single_8t,6,2026-07-19T00:24:21,1,11.531621503422123,[11.532],[10933.7],[85.96],100.0,6277,2031781,56.0,78.0,2806.9,33.05
B_dual_4t,6,2026-07-19T00:25:59,2,12.395674616235887,"[6.269, 6.126]","[21536.1, 21737.7]","[157.73, 159.11]",99.5,3241,1799200,56.0,86.0,5366.1,63.36
