arm,round,timestamp,load_nice,load_weight,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,decode_tps,n_tokens,load_rate,load_iters,total_migrations,energy_j,j_per_token,temp_start_c,temp_end_c,switch_detected,switch_lead_ms
P3_weight1,1,2026-07-19T12:58:03,0,1,11805.92,89.422,91.324,95.271,11.152,256,17849.7,715406,62284,2950.8,11.526,67.0,79.0,True,-135.7
P2_nice19,1,2026-07-19T12:59:13,19,0,11831.67,87.873,89.655,92.39,11.342,256,17841.4,708053,29903,2921.7,11.413,68.0,80.0,True,-131.7
P1_normal,1,2026-07-19T13:00:23,0,0,11776.88,88.245,92.915,107.314,11.209,256,17904.1,715570,56763,2941.6,11.491,70.0,80.0,True,-132.7
P2_nice19,2,2026-07-19T13:01:33,19,0,11756.56,88.086,89.796,95.007,11.311,256,17869.7,710165,38314,2921.2,11.411,68.0,82.0,True,-132.5
P3_weight1,2,2026-07-19T13:02:43,0,1,11763.8,88.0,89.778,90.547,11.337,256,17877.9,707959,35519,2917.2,11.395,68.0,79.0,True,-123.0
P1_normal,2,2026-07-19T13:03:53,0,0,11786.36,88.042,89.639,90.296,11.333,256,17871.5,709878,36042,2921.8,11.413,68.0,80.0,True,-126.6
P2_nice19,3,2026-07-19T13:05:02,19,0,11759.54,88.115,89.226,90.338,11.343,256,17837.8,706508,35927,2917.6,11.397,69.0,81.0,True,-137.1
P1_normal,3,2026-07-19T13:06:12,0,0,11759.34,88.049,89.583,92.9,11.323,256,17892.4,710539,36673,2920.2,11.407,68.0,80.0,True,-117.4
P3_weight1,3,2026-07-19T13:07:22,0,1,11728.12,88.065,89.27,89.83,11.342,256,17865.6,708160,33940,2914.2,11.384,68.0,80.0,True,-128.7
P3_weight1,4,2026-07-19T13:08:32,0,1,11767.19,88.011,89.255,89.938,11.347,256,17840.2,706313,33636,2916.6,11.393,68.0,81.0,True,-119.3
P1_normal,4,2026-07-19T13:09:42,0,0,11775.72,88.159,89.498,90.331,11.333,256,17892.8,710405,34976,2918.9,11.402,68.0,81.0,True,-116.8
P2_nice19,4,2026-07-19T13:10:52,19,0,11742.82,88.015,89.315,91.684,11.335,256,17848.5,708098,36711,2917.4,11.396,69.0,80.0,True,-122.2
P3_weight1,5,2026-07-19T13:12:02,0,1,11848.89,88.068,89.562,90.302,11.334,256,17862.2,710309,34990,2923.5,11.42,68.0,80.0,True,-137.9
P1_normal,5,2026-07-19T13:13:11,0,0,11797.29,88.097,89.868,90.399,11.32,256,17853.6,708729,37425,2922.8,11.417,68.0,82.0,True,-132.7
P2_nice19,5,2026-07-19T13:14:21,19,0,11755.42,88.03,89.636,90.871,11.335,256,17851.3,707300,36013,2917.2,11.395,69.0,82.0,True,-118.1
P3_weight1,6,2026-07-19T13:15:31,0,1,11732.12,88.274,89.873,91.214,11.296,256,17879.1,709012,32996,2921.3,11.411,68.0,80.0,True,-127.3
P2_nice19,6,2026-07-19T13:16:41,19,0,11754.67,87.895,89.684,90.524,11.342,256,17864.4,707611,33892,2916.2,11.391,68.0,80.0,True,-132.1
P1_normal,6,2026-07-19T13:17:51,0,0,11781.21,88.257,89.869,91.04,11.308,256,17901.2,711848,36041,2923.3,11.419,68.0,82.0,True,-119.4
