arm,round,run_seq,timestamp,cpus,threads,ttft_ms,prefill_tps,itl_p50_ms,itl_p95_ms,itl_p99_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,migrations,ctx_switches,freq_p_busy_mhz,freq_e_avg_mhz,seed,n_predict
A_P8,1,1,2026-07-19T01:46:52,"0,2,4,6,8,10,12,14",8,11024.747,44.99,86.582,88.061,90.589,11.521,256,496,56.0,74.0,5799,2027379,4193.2,1823.4,42,256
C_P8_E8,1,2,2026-07-19T01:48:00,"0,2,4,6,8,10,12,14,16-23",16,9644.555,51.43,97.227,103.019,113.142,10.223,256,496,56.0,71.0,94685,4540292,4045.5,3342.9,42,256
B_P8_E4,1,3,2026-07-19T01:49:09,"0,2,4,6,8,10,12,14,16,17,18,19",12,10406.769,47.66,99.912,110.718,117.565,9.913,256,496,56.0,74.0,48444,3433326,4157.6,2601.1,42,256
B_P8_E4,2,4,2026-07-19T01:50:18,"0,2,4,6,8,10,12,14,16,17,18,19",12,10404.089,47.67,99.19,102.717,105.438,10.055,256,496,56.0,72.0,28837,3412596,4151.9,2656.4,42,256
C_P8_E8,2,5,2026-07-19T01:51:25,"0,2,4,6,8,10,12,14,16-23",16,9735.826,50.95,94.964,99.567,100.978,10.503,256,496,56.0,71.0,33668,4481256,4010.8,3301.4,42,256
A_P8,2,6,2026-07-19T01:52:32,"0,2,4,6,8,10,12,14",8,11045.886,44.9,85.906,90.977,93.16,11.547,256,496,56.0,77.0,3277,2032024,4215.8,1113.0,42,256
B_P8_E4,3,7,2026-07-19T01:53:40,"0,2,4,6,8,10,12,14,16,17,18,19",12,10363.027,47.86,97.488,100.868,102.638,10.243,256,496,56.0,73.0,13372,3390180,4136.2,2324.6,42,256
C_P8_E8,3,8,2026-07-19T01:54:47,"0,2,4,6,8,10,12,14,16-23",16,9718.438,51.04,94.087,98.243,100.427,10.582,256,496,56.0,72.0,32129,4473059,4003.2,3302.1,42,256
A_P8,3,9,2026-07-19T01:55:54,"0,2,4,6,8,10,12,14",8,10980.344,45.17,85.968,90.637,92.543,11.574,256,496,56.0,77.0,2995,2037297,4171.7,1088.5,42,256
A_P8,4,10,2026-07-19T01:57:00,"0,2,4,6,8,10,12,14",8,10999.745,45.09,86.078,93.522,99.572,11.412,256,496,57.0,77.0,10150,2030013,4198.3,1132.1,42,256
C_P8_E8,4,11,2026-07-19T01:58:07,"0,2,4,6,8,10,12,14,16-23",16,9702.62,51.12,93.942,98.794,100.072,10.596,256,496,56.0,72.0,31127,4503633,3953.7,3271.2,42,256
B_P8_E4,4,12,2026-07-19T01:59:16,"0,2,4,6,8,10,12,14,16,17,18,19",12,10326.124,48.03,97.577,100.925,102.84,10.234,256,496,57.0,73.0,13696,3397596,4128.5,2350.5,42,256
B_P8_E4,5,13,2026-07-19T02:00:24,"0,2,4,6,8,10,12,14,16,17,18,19",12,10404.807,47.67,97.879,101.959,109.211,10.178,256,496,56.0,73.0,21426,3412137,4160.8,2370.4,42,256
A_P8,5,14,2026-07-19T02:01:30,"0,2,4,6,8,10,12,14",8,10980.958,45.17,85.893,89.561,89.931,11.565,256,496,56.0,76.0,3871,2030620,4202.6,1151.6,42,256
C_P8_E8,5,15,2026-07-19T02:02:37,"0,2,4,6,8,10,12,14,16-23",16,9731.646,50.97,93.86,98.112,99.533,10.612,256,496,56.0,73.0,31749,4480495,3988.5,3285.7,42,256
B_P8_E4,6,16,2026-07-19T02:03:46,"0,2,4,6,8,10,12,14,16,17,18,19",12,10360.029,47.88,97.603,100.99,102.576,10.21,256,496,57.0,75.0,14086,3390779,4101.4,2303.9,42,256
C_P8_E8,6,17,2026-07-19T02:04:53,"0,2,4,6,8,10,12,14,16-23",16,9743.191,50.91,94.205,98.371,100.275,10.582,256,496,57.0,72.0,32356,4472921,3974.0,3280.8,42,256
A_P8,6,18,2026-07-19T02:05:59,"0,2,4,6,8,10,12,14",8,10929.206,45.38,85.911,89.424,98.952,11.572,256,496,58.0,77.0,6960,2034205,4187.8,1096.9,42,256
