arm,round,run_seq,timestamp,cpus,threads,ttft_ms,prefill_tps,itl_p50_ms,itl_p95_ms,itl_p99_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,migrations,ctx_switches,freq_p_busy_mhz,freq_e_avg_mhz,seed,n_predict
A_P8,1,1,2026-07-19T19:55:56,"0,2,4,6,8,10,12,14",8,6095.573,81.37,56.015,56.788,58.765,17.973,256,496,60.0,78.0,4685,1993334,4233.8,1191.2,42,256
C_P8_E8,1,2,2026-07-19T19:56:50,"0,2,4,6,8,10,12,14,16-23",16,5634.916,88.02,62.662,66.733,68.228,15.913,256,496,61.0,77.0,37139,4513109,4045.4,3354.6,42,256
B_P8_E4,1,3,2026-07-19T19:57:45,"0,2,4,6,8,10,12,14,16,17,18,19",12,5915.822,83.84,64.134,67.752,69.632,15.472,256,496,61.0,78.0,13521,3411961,4221.2,2368.8,42,256
B_P8_E4,2,4,2026-07-19T19:58:41,"0,2,4,6,8,10,12,14,16,17,18,19",12,5883.454,84.3,64.483,82.608,92.347,15.037,256,496,62.0,80.0,64703,3450963,4189.0,2507.4,42,256
C_P8_E8,2,5,2026-07-19T19:59:35,"0,2,4,6,8,10,12,14,16-23",16,5697.695,87.05,62.81,66.613,68.339,15.894,256,496,61.0,79.0,37620,4491252,4081.4,3367.6,42,256
A_P8,2,6,2026-07-19T20:00:28,"0,2,4,6,8,10,12,14",8,6072.929,81.67,54.58,56.413,57.568,18.23,256,496,61.0,80.0,3925,1999386,4266.5,1163.6,42,256
B_P8_E4,3,7,2026-07-19T20:01:23,"0,2,4,6,8,10,12,14,16,17,18,19",12,5860.925,84.63,64.115,68.687,69.847,15.433,256,496,61.0,78.0,13154,3408709,4184.7,2389.8,42,256
C_P8_E8,3,8,2026-07-19T20:02:17,"0,2,4,6,8,10,12,14,16-23",16,5644.233,87.88,63.075,67.125,68.309,15.809,256,496,61.0,78.0,40279,4473885,4082.9,3369.3,42,256
A_P8,3,9,2026-07-19T20:03:09,"0,2,4,6,8,10,12,14",8,6138.423,80.8,51.754,55.409,56.283,18.865,256,496,61.0,80.0,3070,2012384,4248.0,1055.5,42,256
A_P8,4,10,2026-07-19T20:04:01,"0,2,4,6,8,10,12,14",8,6088.124,81.47,51.574,56.768,59.455,19.1,256,496,61.0,79.0,4251,2007505,4251.5,1282.1,42,256
C_P8_E8,4,11,2026-07-19T20:04:56,"0,2,4,6,8,10,12,14,16-23",16,5649.582,87.79,62.93,67.186,68.764,15.825,256,496,61.0,77.0,40855,4479362,4043.9,3350.2,42,256
B_P8_E4,4,12,2026-07-19T20:05:51,"0,2,4,6,8,10,12,14,16,17,18,19",12,5864.49,84.58,64.052,68.342,70.142,15.455,256,496,61.0,79.0,17499,3409841,4223.3,2365.5,42,256
B_P8_E4,5,13,2026-07-19T20:06:46,"0,2,4,6,8,10,12,14,16,17,18,19",12,5873.369,84.45,64.001,67.171,68.993,15.528,256,496,61.0,77.0,13733,3420646,4184.5,2352.4,42,256
A_P8,5,14,2026-07-19T20:07:39,"0,2,4,6,8,10,12,14",8,6094.259,81.39,55.477,55.975,56.5,18.015,256,496,61.0,79.0,2418,1986013,4279.2,1210.6,42,256
C_P8_E8,5,15,2026-07-19T20:08:33,"0,2,4,6,8,10,12,14,16-23",16,5637.113,87.99,62.815,67.418,68.486,15.822,256,496,61.0,78.0,38673,4536181,4071.4,3358.2,42,256
B_P8_E4,6,16,2026-07-19T20:09:28,"0,2,4,6,8,10,12,14,16,17,18,19",12,5881.156,84.34,64.258,67.688,69.851,15.469,256,496,62.0,78.0,15366,3428551,4184.9,2366.2,42,256
C_P8_E8,6,17,2026-07-19T20:10:22,"0,2,4,6,8,10,12,14,16-23",16,5602.229,88.54,63.256,66.939,68.001,15.8,256,496,61.0,77.0,39373,4560288,4072.7,3367.1,42,256
A_P8,6,18,2026-07-19T20:11:15,"0,2,4,6,8,10,12,14",8,6089.883,81.45,54.523,55.587,56.092,18.291,256,496,62.0,80.0,2793,2007470,4256.8,1103.1,42,256
