arm,round,run_seq,timestamp,cpus,threads,threads_batch,ttft_ms,prefill_tps,itl_p50_ms,itl_p95_ms,itl_p99_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,migrations,ctx_switches,freq_p_busy_mhz,freq_e_avg_mhz,seed,n_predict
B_t8_tb16_PE,1,1,2026-07-19T02:26:39,"0,2,4,6,8,10,12,14,16-23",8,16,9755.26,50.84,98.487,103.894,105.722,10.126,256,496,50.0,78.0,8642,2099938,4114.1,2149.6,42,256
A_t8_tb8_P,1,2,2026-07-19T02:27:45,"0,2,4,6,8,10,12,14",8,8,11045.781,44.9,85.789,88.665,89.666,11.615,256,496,54.0,72.0,3643,2031129,4181.8,1307.9,42,256
C_t16_tb16_PE,1,3,2026-07-19T02:28:52,"0,2,4,6,8,10,12,14,16-23",16,16,9735.262,50.95,95.054,99.722,101.449,10.498,256,496,55.0,70.0,43018,4484189,3991.1,3302.9,42,256
A_t8_tb8_P,2,4,2026-07-19T02:29:58,"0,2,4,6,8,10,12,14",8,8,10988.558,45.14,86.211,86.718,87.368,11.589,256,496,56.0,77.0,2461,2013044,4193.6,1330.5,42,256
B_t8_tb16_PE,2,5,2026-07-19T02:31:06,"0,2,4,6,8,10,12,14,16-23",8,16,9694.99,51.16,98.592,103.92,106.183,10.147,256,496,56.0,79.0,7848,2106138,4078.5,2295.0,42,256
C_t16_tb16_PE,2,6,2026-07-19T02:32:14,"0,2,4,6,8,10,12,14,16-23",16,16,9734.131,50.95,94.176,98.627,100.177,10.568,256,496,55.0,76.0,38422,4462398,3987.1,3306.3,42,256
C_t16_tb16_PE,3,7,2026-07-19T02:33:21,"0,2,4,6,8,10,12,14,16-23",16,16,9620.744,51.56,95.554,99.5,100.714,10.462,256,496,56.0,74.0,42793,4437926,4037.6,3319.0,42,256
A_t8_tb8_P,3,8,2026-07-19T02:34:27,"0,2,4,6,8,10,12,14",8,8,10995.186,45.11,85.898,86.62,90.259,11.617,256,496,55.0,76.0,3154,2024924,4211.0,1070.1,42,256
B_t8_tb16_PE,3,9,2026-07-19T02:35:35,"0,2,4,6,8,10,12,14,16-23",8,16,9704.486,51.11,98.914,105.145,106.834,10.076,256,496,55.0,76.0,8143,2105793,4047.8,2087.7,42,256
B_t8_tb16_PE,4,10,2026-07-19T02:36:44,"0,2,4,6,8,10,12,14,16-23",8,16,9625.543,51.53,98.44,104.774,107.23,10.13,256,496,54.0,76.0,8149,2112882,4126.5,2118.5,42,256
A_t8_tb8_P,4,11,2026-07-19T02:37:49,"0,2,4,6,8,10,12,14",8,8,10910.438,45.46,85.53,86.088,86.77,11.683,256,496,54.0,74.0,2727,2030057,4186.8,1142.3,42,256
C_t16_tb16_PE,4,12,2026-07-19T02:38:57,"0,2,4,6,8,10,12,14,16-23",16,16,9700.951,51.13,93.908,98.477,100.708,10.609,256,496,54.0,70.0,37193,4450291,3991.6,3289.9,42,256
B_t8_tb16_PE,5,13,2026-07-19T02:40:05,"0,2,4,6,8,10,12,14,16-23",8,16,9699.588,51.14,97.699,105.411,108.848,10.167,256,496,56.0,77.0,8413,2107111,4065.9,2142.5,42,256
A_t8_tb8_P,5,14,2026-07-19T02:41:11,"0,2,4,6,8,10,12,14",8,8,10985.204,45.15,85.965,91.647,92.697,11.542,256,496,55.0,77.0,3569,2017598,4183.2,1233.1,42,256
C_t16_tb16_PE,5,15,2026-07-19T02:42:18,"0,2,4,6,8,10,12,14,16-23",16,16,9681.608,51.23,94.327,98.797,100.79,10.554,256,496,55.0,72.0,39310,4435595,3986.0,3296.1,42,256
