arm,llm_arm,round,timestamp,load_nice,load_weight,load_sched_idle,load_cpus,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,decode_tps,n_tokens,load_rate,load_iters,total_migrations,energy_j,j_per_token,temp_start_c,temp_end_c,switch_detected,switch_lead_ms
S4_idle,SWITCH,1,2026-07-19T14:31:21,0,0,True,"0,2,4,6,8,10,12,14",12527.33,94.285,97.088,100.046,104.662,10.555,128,10478.8,326772,7060,2102.6,16.426,71.0,82.0,True,-136.2
S3_weight,SWITCH,1,2026-07-19T14:32:43,0,1,False,"0,2,4,6,8,10,12,14",18014.65,216.354,290.293,306.04,341.636,4.678,128,19605.0,1020177,6288,3704.7,28.943,73.0,94.0,True,-371.5
S1_switch,SWITCH,1,2026-07-19T14:34:37,0,0,False,"0,2,4,6,8,10,12,14",25833.08,394.966,511.533,532.082,534.507,2.525,128,22619.0,1878321,6170,5815.3,45.432,76.0,86.0,True,-831.5
S1_switch,SWITCH,2,2026-07-19T14:36:29,0,0,False,"0,2,4,6,8,10,12,14",25824.24,371.722,475.524,517.073,550.379,2.615,128,22457.2,1827616,5525,5691.4,44.464,77.0,89.0,True,-871.5
S3_weight,SWITCH,2,2026-07-19T14:37:48,0,1,False,"0,2,4,6,8,10,12,14",18040.78,210.95,287.52,293.47,294.093,5.234,128,18813.8,925116,3824,3495.8,27.311,77.0,85.0,True,-427.0
S4_idle,SWITCH,2,2026-07-19T14:38:49,0,0,True,"0,2,4,6,8,10,12,14",12452.0,95.48,97.929,100.423,102.468,10.439,128,10094.2,313759,12161,2109.3,16.479,78.0,84.0,True,-124.6
S3_weight,SWITCH,3,2026-07-19T14:40:10,0,1,False,"0,2,4,6,8,10,12,14",17849.57,212.526,286.063,304.586,308.518,4.843,128,19280.4,985611,9888,3675.2,28.713,77.0,94.0,True,-447.6
S1_switch,SWITCH,3,2026-07-19T14:42:00,0,0,False,"0,2,4,6,8,10,12,14",25841.51,339.25,457.161,473.818,511.008,2.724,128,22520.9,1793350,3719,5669.0,44.289,78.0,88.0,True,-889.0
S4_idle,SWITCH,3,2026-07-19T14:43:02,0,0,True,"0,2,4,6,8,10,12,14",12283.66,95.667,98.349,99.518,100.455,10.418,128,10163.0,315972,11800,2099.2,16.4,77.0,83.0,True,-138.1
S1_switch,SWITCH,4,2026-07-19T14:44:53,0,0,False,"0,2,4,6,8,10,12,14",25865.33,347.136,464.372,478.821,483.875,2.657,128,22529.2,1822072,3750,5727.1,44.743,76.0,92.0,True,-878.1
S3_weight,SWITCH,4,2026-07-19T14:46:15,0,1,False,"0,2,4,6,8,10,12,14",17859.78,222.114,291.241,301.156,306.387,4.62,128,19546.4,1024112,10615,3771.3,29.463,77.0,92.0,True,-384.1
S4_idle,SWITCH,4,2026-07-19T14:47:17,0,0,True,"0,2,4,6,8,10,12,14",12431.76,97.019,100.654,104.936,107.295,10.268,128,10118.8,315398,17243,2125.5,16.605,77.0,84.0,True,-144.4
S4_idle,SWITCH,5,2026-07-19T14:48:18,0,0,True,"0,2,4,6,8,10,12,14",12403.38,95.815,98.317,99.076,100.36,10.406,128,10254.6,320191,13691,2109.8,16.483,77.0,84.0,True,-140.1
S3_weight,SWITCH,5,2026-07-19T14:49:40,0,1,False,"0,2,4,6,8,10,12,14",17760.45,219.891,291.807,301.676,304.738,4.65,128,19447.2,1013500,10179,3736.5,29.191,75.0,92.0,True,-450.9
S1_switch,SWITCH,5,2026-07-19T14:51:34,0,0,False,"0,2,4,6,8,10,12,14",25836.21,394.36,496.107,522.451,539.59,2.54,128,22572.3,1874590,5517,5791.9,45.25,76.0,89.0,True,-944.1
S4_idle,SWITCH,6,2026-07-19T14:52:35,0,0,True,"0,2,4,6,8,10,12,14",12369.89,93.944,97.613,98.765,99.904,10.575,128,10151.6,312062,4524,2087.3,16.307,78.0,84.0,True,-121.3
S1_switch,SWITCH,6,2026-07-19T14:54:29,0,0,False,"0,2,4,6,8,10,12,14",25840.31,396.276,502.421,521.523,556.665,2.501,128,22604.3,1891381,6581,5860.9,45.788,77.0,84.0,True,-866.6
S3_weight,SWITCH,6,2026-07-19T14:55:52,0,1,False,"0,2,4,6,8,10,12,14",18315.08,228.767,284.79,294.352,309.278,4.569,128,19801.5,1047562,7386,3785.7,29.575,75.0,88.0,True,-380.1
