arm,llm_arm,round,timestamp,load_nice,load_weight,load_cpus,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,decode_tps,n_tokens,load_rate,load_iters,total_migrations,energy_j,j_per_token,temp_start_c,temp_end_c,switch_detected,switch_lead_ms
S3_weight,SWITCH,1,2026-07-19T13:43:15,0,1,"0,2,4,6,8,10,12,14",17862.96,225.28,289.661,304.09,313.198,4.57,128,19819.5,1044375,8427,3739.1,29.212,73.0,87.0,True,-375.8
S1_switch,SWITCH,1,2026-07-19T13:45:07,0,0,"0,2,4,6,8,10,12,14",25548.42,384.082,494.31,535.901,541.627,2.546,128,22620.7,1870593,5596,5786.8,45.209,74.0,87.0,True,-897.9
S2_nice,SWITCH,1,2026-07-19T13:46:32,19,0,"0,2,4,6,8,10,12,14",19079.69,242.589,299.356,314.122,315.98,4.534,128,19430.7,1049038,5160,3838.6,29.989,77.0,90.0,True,-602.0
S0_static,A_P8,1,2026-07-19T13:48:33,0,0,"0,2,4,6,8,10,12,14",30019.49,399.536,504.298,566.637,602.193,2.498,128,20841.0,1895061,9763,6177.7,48.263,76.0,90.0,True,-27600.0
S1_switch,SWITCH,2,2026-07-19T13:50:27,0,0,"0,2,4,6,8,10,12,14",25840.5,416.662,487.647,522.683,539.733,2.498,128,22610.7,1892495,6467,5865.9,45.827,77.0,96.0,True,-920.2
S0_static,A_P8,2,2026-07-19T13:52:26,0,0,"0,2,4,6,8,10,12,14",30339.42,385.783,487.699,518.546,552.171,2.553,128,20803.0,1846931,11823,6131.4,47.902,77.0,87.0,True,-25262.2
S2_nice,SWITCH,2,2026-07-19T13:53:56,19,0,"0,2,4,6,8,10,12,14",19174.2,272.277,301.418,313.23,318.93,3.83,128,20332.5,1204536,8848,4213.6,32.919,76.0,93.0,True,-570.1
S3_weight,SWITCH,2,2026-07-19T13:55:19,0,1,"0,2,4,6,8,10,12,14",18093.44,232.677,290.981,298.378,309.366,4.538,128,19709.6,1044035,6309,3783.4,29.558,75.0,90.0,True,-441.5
S3_weight,SWITCH,3,2026-07-19T13:56:40,0,1,"0,2,4,6,8,10,12,14",17966.14,211.242,286.062,297.475,300.562,4.795,128,19556.4,1003864,6671,3659.5,28.59,77.0,90.0,True,-420.5
S1_switch,SWITCH,3,2026-07-19T13:58:35,0,0,"0,2,4,6,8,10,12,14",25646.28,430.025,498.773,544.663,552.663,2.447,128,22694.8,1918591,6021,,,76.0,91.0,True,-813.2
S0_static,A_P8,3,2026-07-19T14:00:35,0,0,"0,2,4,6,8,10,12,14",30626.88,394.02,515.474,532.169,538.927,2.528,128,20797.0,1861236,11029,6167.2,48.181,77.0,91.0,True,-24388.2
S2_nice,SWITCH,3,2026-07-19T14:02:05,19,0,"0,2,4,6,8,10,12,14",19203.85,274.999,309.435,333.345,357.765,3.771,128,20541.7,1227995,8541,4227.3,33.026,77.0,92.0,True,-563.0
S1_switch,SWITCH,4,2026-07-19T14:03:59,0,0,"0,2,4,6,8,10,12,14",25955.75,404.824,504.667,535.534,540.738,2.513,128,22606.7,1887723,6075,5846.3,45.675,77.0,94.0,True,-948.7
S2_nice,SWITCH,4,2026-07-19T14:05:29,19,0,"0,2,4,6,8,10,12,14",18894.69,284.717,305.171,325.145,335.845,3.714,128,20491.7,1229059,7477,4225.8,33.014,76.0,88.0,True,-624.5
S0_static,A_P8,4,2026-07-19T14:07:30,0,0,"0,2,4,6,8,10,12,14",30072.75,407.746,482.461,520.003,542.298,2.491,128,20854.7,1890570,11258,6156.4,48.097,77.0,87.0,True,-29683.8
S3_weight,SWITCH,4,2026-07-19T14:08:54,0,1,"0,2,4,6,8,10,12,14",18018.66,229.881,284.706,302.782,304.931,4.472,128,19867.5,1059092,7273,3805.8,29.733,77.0,96.0,True,-450.2
S3_weight,SWITCH,5,2026-07-19T14:10:16,0,1,"0,2,4,6,8,10,12,14",17845.55,221.95,285.076,290.314,300.712,4.676,128,19472.9,1008494,7020,3698.2,28.893,77.0,92.0,True,-427.5
S0_static,A_P8,5,2026-07-19T14:12:16,0,0,"0,2,4,6,8,10,12,14",30066.24,422.487,515.98,526.92,534.183,2.478,128,20863.6,1880160,9949,6209.8,48.514,77.0,91.0,True,-29634.3
S1_switch,SWITCH,5,2026-07-19T14:14:08,0,0,"0,2,4,6,8,10,12,14",25692.79,390.38,467.228,522.368,540.178,2.591,128,22612.6,1848635,5830,5715.0,44.649,77.0,91.0,True,-822.1
S2_nice,SWITCH,5,2026-07-19T14:15:37,19,0,"0,2,4,6,8,10,12,14",19356.28,271.205,311.05,322.644,326.233,3.852,128,20437.2,1210319,7980,4182.9,32.679,76.0,86.0,True,-600.6
S0_static,A_P8,6,2026-07-19T14:17:36,0,0,"0,2,4,6,8,10,12,14",30213.8,364.182,487.312,528.07,534.425,2.602,128,20721.5,1833413,8771,6019.3,47.026,77.0,93.0,True,-26042.9
S1_switch,SWITCH,6,2026-07-19T14:19:30,0,0,"0,2,4,6,8,10,12,14",25871.26,413.075,469.777,528.906,548.565,2.518,128,22642.1,1886497,5897,5844.6,45.661,77.0,91.0,True,-870.0
S3_weight,SWITCH,6,2026-07-19T14:20:54,0,1,"0,2,4,6,8,10,12,14",18201.2,241.249,298.953,343.002,362.336,4.363,128,19452.6,1054284,6469,3821.0,29.851,77.0,90.0,True,-433.9
S2_nice,SWITCH,6,2026-07-19T14:22:24,19,0,"0,2,4,6,8,10,12,14",19300.49,273.081,319.93,334.98,346.18,3.841,128,19895.8,1179013,7708,4183.7,32.685,77.0,90.0,True,-575.3
