sched,arm,competitor,round,timestamp,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,decode_tps,n_tokens,energy_j,j_per_token,build_wall_s,total_migrations,total_ctx_switches,temp_start_c,temp_end_c,switch_detected,switch_lead_ms,sched_ext_state
rustland,A_P8,none,1,2026-07-19T17:19:07,10972.54,87.494,91.784,93.46,97.762,11.371,256,,,,62004,2311026,58.0,81.0,True,-103.1,enabled
rustland,SWITCH,build,1,2026-07-19T17:20:17,11247.49,87.755,88.589,88.889,92.552,11.381,256,,,35.66,64708,2284985,61.0,80.0,True,-110.1,enabled
rustland,A_P8,build,1,2026-07-19T17:21:27,11522.43,87.456,88.199,91.75,92.497,11.411,256,,,35.87,61811,2310261,61.0,81.0,True,-116.4,enabled
rustland,SWITCH,none,1,2026-07-19T17:22:33,10287.97,87.859,89.454,92.612,93.287,11.35,256,2756.7,10.768,,63150,2285371,62.0,83.0,True,-109.4,enabled
rustland,SWITCH,build,2,2026-07-19T17:23:43,10697.7,87.896,88.822,91.675,95.624,11.356,256,2922.1,11.415,35.16,64996,2276299,61.0,84.0,True,-104.7,enabled
rustland,A_P8,build,2,2026-07-19T17:24:53,11560.38,87.717,91.606,96.248,98.214,11.329,256,3012.2,11.766,36.07,67652,2307674,62.0,84.0,True,-126.1,enabled
rustland,A_P8,none,2,2026-07-19T17:26:00,10953.7,87.44,87.933,88.867,92.198,11.431,256,2829.1,11.051,,57549,2310030,62.0,80.0,True,-109.1,enabled
rustland,SWITCH,none,2,2026-07-19T17:27:07,10197.48,87.475,88.024,91.598,92.31,11.417,256,2744.2,10.719,,58004,2282486,62.0,81.0,True,-125.2,enabled
rustland,A_P8,none,3,2026-07-19T17:28:14,10967.4,87.47,91.273,94.047,98.282,11.39,256,2836.7,11.081,,58545,2305111,62.0,86.0,True,-114.0,enabled
rustland,SWITCH,build,3,2026-07-19T17:29:23,10764.42,87.501,88.241,91.149,94.623,11.407,256,2910.9,11.371,35.12,275080,2288734,62.0,84.0,True,-115.4,enabled
rustland,SWITCH,none,3,2026-07-19T17:30:30,10020.31,87.466,87.692,88.765,92.952,11.426,256,2734.2,10.681,,59082,2283545,62.0,85.0,True,-121.9,enabled
rustland,A_P8,build,3,2026-07-19T17:31:39,11514.68,87.534,89.145,95.326,97.978,11.381,256,2997.3,11.708,35.92,61816,2314237,62.0,83.0,True,-121.4,enabled
rustland,A_P8,build,4,2026-07-19T17:32:49,11508.4,88.187,92.37,94.595,98.199,11.183,256,3031.1,11.84,36.31,59191,2307507,62.0,85.0,True,-121.0,enabled
rustland,SWITCH,none,4,2026-07-19T17:33:56,10121.46,87.523,87.842,89.275,92.321,11.419,256,2738.7,10.698,,58727,2281096,63.0,81.0,True,-125.1,enabled
rustland,A_P8,none,4,2026-07-19T17:35:03,10972.22,87.627,87.953,88.306,92.183,11.412,256,2832.8,11.066,,57637,2311008,63.0,82.0,True,-123.9,enabled
rustland,SWITCH,build,4,2026-07-19T17:36:12,10843.7,87.716,87.963,88.701,92.921,11.397,256,2922.6,11.417,35.22,60835,2286166,62.0,86.0,True,-123.6,enabled
rustland,SWITCH,none,5,2026-07-19T17:37:19,10132.68,87.499,87.789,88.448,92.902,11.423,256,2741.1,10.707,,57109,2284773,62.0,82.0,True,-106.1,enabled
rustland,A_P8,none,5,2026-07-19T17:38:26,10995.14,87.543,92.327,94.502,97.684,11.299,256,2853.5,11.146,,58898,2307563,63.0,83.0,True,-121.4,enabled
rustland,A_P8,build,5,2026-07-19T17:39:36,11532.22,87.528,87.796,88.256,89.62,11.425,256,2992.3,11.689,35.85,59179,2310693,62.0,84.0,True,-116.7,enabled
rustland,SWITCH,build,5,2026-07-19T17:40:45,10774.5,87.609,88.008,90.67,92.807,11.403,256,2913.4,11.381,35.14,63193,2282936,63.0,81.0,True,-114.0,enabled
rustland,SWITCH,none,6,2026-07-19T17:41:52,10134.24,87.69,89.958,95.275,100.092,11.339,256,2754.7,10.761,,63286,2276844,62.0,85.0,True,-105.0,enabled
rustland,A_P8,build,6,2026-07-19T17:43:02,11506.5,87.691,92.127,93.77,97.728,11.332,256,3007.3,11.747,36.01,59299,2304816,63.0,86.0,True,-120.4,enabled
rustland,A_P8,none,6,2026-07-19T17:44:09,10953.59,87.627,91.112,92.027,97.897,11.369,256,2838.5,11.088,,61605,2308135,62.0,86.0,True,-108.0,enabled
rustland,SWITCH,build,6,2026-07-19T17:45:18,10762.81,87.574,89.414,93.711,99.826,11.381,256,2918.0,11.398,35.17,64374,2271628,62.0,83.0,True,-108.4,enabled
