arm,round,run_seq,timestamp,cpus,threads,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,itl_mean_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,temp_delta_c,migrations,ctx_switches,threads_seen,freq_p_avg_mhz,freq_p_busy_mhz,freq_e_avg_mhz,seed,n_predict,ctx,batch,ubatch
t16,1,1,2026-07-19T19:26:16,0-15,16,6143.136,55.561,56.262,56.915,57.238,55.626,17.977,256,496,60.0,78.0,18.0,2194994,5060903,42,4119.9,4134.7,1492.2,42,256,2048,2048,512
t2,1,2,2026-07-19T19:27:32,"0,2",2,18594.23,95.239,105.919,107.003,113.477,97.205,10.288,256,496,60.0,83.0,23.0,9,337029,28,1822.8,2886.7,1071.0,42,256,2048,2048,512
t8,1,3,2026-07-19T19:28:25,"0,2,4,6,8,10,12,14",8,6079.076,54.212,55.332,56.56,57.921,54.314,18.411,256,496,60.0,81.0,21.0,3763,2007125,34,2738.2,4265.0,1141.9,42,256,2048,2048,512
t4,1,4,2026-07-19T19:29:24,"0,2,4,6",4,10097.425,63.918,64.38,66.682,68.578,64.037,15.616,256,496,60.0,82.0,22.0,285,887262,30,2119.3,3459.3,1015.4,42,256,2048,2048,512
t6,1,5,2026-07-19T19:30:18,"0,2,4,6,8,10",6,7306.154,55.336,58.511,59.84,60.37,55.71,17.95,256,496,60.0,83.0,23.0,1936,1479448,32,2488.1,4168.4,1025.7,42,256,2048,2048,512
t6,2,6,2026-07-19T19:31:12,"0,2,4,6,8,10",6,7351.94,55.307,55.92,59.727,60.304,55.474,18.026,256,496,61.0,87.0,26.0,1709,1471146,32,2518.9,4215.3,1053.8,42,256,2048,2048,512
t8,2,7,2026-07-19T19:32:05,"0,2,4,6,8,10,12,14",8,6191.271,53.663,56.523,57.127,57.462,53.582,18.663,256,496,74.0,79.0,5.0,3504,1993362,34,2727.0,4243.7,1554.2,42,256,2048,2048,512
t4,2,8,2026-07-19T19:33:04,"0,2,4,6",4,10166.911,63.961,64.562,68.715,70.54,64.15,15.588,256,496,62.0,86.0,24.0,379,882777,30,2057.0,3353.8,950.5,42,256,2048,2048,512
t16,2,9,2026-07-19T19:33:57,0-15,16,6076.481,55.647,59.472,64.443,66.237,56.301,17.762,256,496,62.0,78.0,16.0,2202731,5059253,42,4125.5,4146.3,1606.0,42,256,2048,2048,512
t2,2,10,2026-07-19T19:35:14,"0,2",2,18931.794,96.44,107.163,111.925,113.475,98.758,10.126,256,496,63.0,85.0,22.0,50,337679,28,1838.5,2890.8,1319.2,42,256,2048,2048,512
t8,3,11,2026-07-19T19:36:06,"0,2,4,6,8,10,12,14",8,6231.16,51.605,53.217,56.71,60.378,51.845,19.288,256,496,61.0,80.0,19.0,4025,2030264,34,2691.4,4182.2,1568.6,42,256,2048,2048,512
t6,3,12,2026-07-19T19:37:00,"0,2,4,6,8,10",6,7351.642,55.577,59.846,61.102,62.774,56.843,17.592,256,496,61.0,83.0,22.0,2577,1487622,32,2485.9,4180.2,1063.7,42,256,2048,2048,512
t2,3,13,2026-07-19T19:38:16,"0,2",2,18510.821,94.488,103.829,105.534,106.407,95.392,10.483,256,496,61.0,74.0,13.0,12,337754,28,1685.9,2605.5,927.6,42,256,2048,2048,512
t4,3,14,2026-07-19T19:39:15,"0,2,4,6",4,10141.001,63.909,64.359,67.055,69.9,64.023,15.619,256,496,60.0,82.0,22.0,414,884064,30,2142.0,3511.0,992.0,42,256,2048,2048,512
t16,3,15,2026-07-19T19:40:08,0-15,16,6088.964,55.336,55.906,57.546,62.558,55.459,18.031,256,496,61.0,80.0,19.0,2195197,5054915,42,4130.5,4170.1,1176.9,42,256,2048,2048,512
t4,4,16,2026-07-19T19:41:07,"0,2,4,6",4,10116.287,63.874,64.612,68.307,70.746,64.065,15.609,256,496,60.0,86.0,26.0,386,882259,30,2110.9,3439.8,1051.6,42,256,2048,2048,512
t6,4,17,2026-07-19T19:42:01,"0,2,4,6,8,10",6,7339.843,55.382,58.584,60.336,62.243,55.793,17.923,256,496,61.0,81.0,20.0,2503,1480405,32,2476.9,4133.3,1149.6,42,256,2048,2048,512
t2,4,18,2026-07-19T19:43:17,"0,2",2,18465.938,94.448,104.902,105.347,105.62,97.482,10.258,256,496,61.0,81.0,20.0,16,337425,28,1648.9,2542.9,856.1,42,256,2048,2048,512
t16,4,19,2026-07-19T19:44:10,0-15,16,6079.661,55.381,55.916,56.948,58.932,55.433,18.04,256,496,60.0,77.0,17.0,2198228,5055419,42,4165.9,4190.9,1048.3,42,256,2048,2048,512
t8,4,20,2026-07-19T19:45:03,"0,2,4,6,8,10,12,14",8,6126.82,54.21,56.692,58.328,61.43,54.619,18.309,256,496,61.0,80.0,19.0,4475,2009697,34,2710.9,4255.5,1111.9,42,256,2048,2048,512
t4,5,21,2026-07-19T19:46:02,"0,2,4,6",4,10115.701,63.925,64.567,67.287,68.958,64.085,15.604,256,496,61.0,87.0,26.0,318,885435,30,2146.7,3520.6,1011.1,42,256,2048,2048,512
t6,5,22,2026-07-19T19:46:56,"0,2,4,6,8,10",6,7325.549,55.304,56.069,62.745,65.886,55.57,17.995,256,496,60.0,84.0,24.0,2874,1465170,32,2494.8,4172.3,1076.3,42,256,2048,2048,512
t16,5,23,2026-07-19T19:47:49,0-15,16,6067.107,55.383,55.751,56.025,56.864,55.393,18.053,256,496,61.0,79.0,18.0,2197189,5062462,42,4156.9,4170.7,1135.5,42,256,2048,2048,512
t8,5,24,2026-07-19T19:48:41,"0,2,4,6,8,10,12,14",8,6090.411,54.376,56.447,58.276,78.289,54.555,18.33,256,496,61.0,80.0,19.0,4554,2005822,34,2734.0,4269.6,1208.3,42,256,2048,2048,512
t2,5,25,2026-07-19T19:49:58,"0,2",2,18558.895,94.712,105.317,106.281,109.037,97.236,10.284,256,496,61.0,76.0,15.0,17,337680,28,1725.8,2702.8,976.7,42,256,2048,2048,512
t8,6,26,2026-07-19T19:50:50,"0,2,4,6,8,10,12,14",8,6182.359,53.594,54.967,56.404,57.931,53.043,18.853,256,496,60.0,78.0,18.0,3429,2020302,34,2721.0,4230.3,1461.4,42,256,2048,2048,512
t16,6,27,2026-07-19T19:51:43,0-15,16,6168.326,55.428,56.02,56.733,57.005,55.48,18.024,256,496,61.0,78.0,17.0,2193573,5059636,42,4117.8,4146.0,1270.7,42,256,2048,2048,512
t6,6,28,2026-07-19T19:52:37,"0,2,4,6,8,10",6,7432.987,55.565,58.072,58.946,60.327,55.83,17.911,256,496,61.0,86.0,25.0,2094,1452662,32,2501.4,4180.9,1194.9,42,256,2048,2048,512
t2,6,29,2026-07-19T19:53:54,"0,2",2,18611.539,94.867,105.157,105.673,106.383,98.618,10.14,256,496,62.0,77.0,15.0,6,337627,28,1710.8,2644.1,962.9,42,256,2048,2048,512
t4,6,30,2026-07-19T19:54:53,"0,2,4,6",4,10087.346,63.993,64.929,68.171,68.709,64.2,15.576,256,496,60.0,85.0,25.0,274,881971,30,2111.8,3464.6,900.8,42,256,2048,2048,512
