arm,round,run_seq,timestamp,cpus,threads,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,itl_mean_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,temp_delta_c,migrations,ctx_switches,threads_seen,freq_p_avg_mhz,freq_p_busy_mhz,freq_e_avg_mhz,seed,n_predict,ctx,batch,ubatch
t16,1,1,2026-07-18T21:30:31,0-15,16,10845.77,88.202,88.981,89.32,89.489,88.252,11.331,256,496,52.0,75.0,23.0,2222636,5073604,42,4119.4,4135.7,1459.4,42,256,2048,2048,512
t2,1,2,2026-07-18T21:32:24,"0,2",2,33815.703,180.532,181.183,181.54,182.151,177.976,5.619,256,496,56.0,68.0,12.0,9,333084,28,1623.3,2476.1,846.5,42,256,2048,2048,512
t8,1,3,2026-07-18T21:33:30,"0,2,4,6,8,10,12,14",8,10967.681,85.893,86.213,88.031,89.723,85.957,11.634,256,496,56.0,77.0,21.0,2513,2020067,34,2697.6,4211.7,1032.8,42,256,2048,2048,512
t4,1,4,2026-07-18T21:34:50,"0,2,4,6",4,17989.576,108.382,117.872,118.189,119.858,110.971,9.011,256,496,56.0,78.0,22.0,585,891396,30,2068.1,3357.2,922.2,42,256,2048,2048,512
t6,1,5,2026-07-18T21:36:00,"0,2,4,6,8,10",6,13160.095,93.077,93.384,96.765,102.04,93.175,10.732,256,496,56.0,80.0,24.0,2217,1474766,32,2445.3,4128.1,851.3,42,256,2048,2048,512
t6,2,6,2026-07-18T21:37:10,"0,2,4,6,8,10",6,13199.547,93.183,95.171,98.468,102.987,93.44,10.702,256,496,56.0,79.0,23.0,2280,1483636,32,2472.5,4168.7,844.8,42,256,2048,2048,512
t8,2,7,2026-07-18T21:38:16,"0,2,4,6,8,10,12,14",8,10964.193,85.846,90.357,90.907,94.399,86.28,11.59,256,496,57.0,77.0,20.0,2801,2031280,34,2668.1,4211.4,974.7,42,256,2048,2048,512
t4,2,8,2026-07-18T21:39:36,"0,2,4,6",4,17977.048,109.703,119.6,119.826,119.846,112.265,8.907,256,496,56.0,78.0,22.0,521,891322,30,2052.3,3373.6,835.0,42,256,2048,2048,512
t16,2,9,2026-07-18T21:40:43,0-15,16,10847.537,87.979,88.291,88.441,88.928,87.983,11.366,256,496,56.0,73.0,17.0,2216842,5077177,42,4147.7,4158.0,962.3,42,256,2048,2048,512
t2,2,10,2026-07-18T21:42:33,"0,2",2,33831.747,162.152,181.012,182.901,185.913,167.551,5.968,256,496,56.0,76.0,20.0,59,335233,28,1698.3,2622.5,1000.3,42,256,2048,2048,512
