run,timestamp,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,itl_mean_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,temp_delta_c,migrations,ctx_switches,threads_seen,freq_p_avg_mhz,freq_e_avg_mhz,freq_samples,threads,cpus,ctx,batch,ubatch,seed,n_predict
1,2026-07-18T19:05:19,12061.3,98.481,104.737,106.888,108.349,98.883,10.113,256,496,57.0,78.0,21.0,8690,2116218,34,2565.2,1960.4,149,8,unpinned,2048,2048,512,42,256
2,2026-07-18T19:06:29,12131.028,97.517,103.242,106.58,108.242,97.794,10.226,256,496,58.0,80.0,22.0,8087,2115026,34,2537.2,1808.7,148,8,unpinned,2048,2048,512,42,256
3,2026-07-18T19:07:39,12081.141,97.687,102.836,104.392,105.963,97.849,10.22,256,496,59.0,79.0,20.0,7885,2105166,34,2558.8,1712.4,148,8,unpinned,2048,2048,512,42,256
4,2026-07-18T19:08:50,12026.528,97.826,103.517,104.099,105.947,98.006,10.203,256,496,59.0,84.0,25.0,7660,2110699,34,2547.9,1625.9,148,8,unpinned,2048,2048,512,42,256
5,2026-07-18T19:10:00,12075.597,97.535,102.216,103.648,104.027,97.669,10.239,256,496,60.0,80.0,20.0,8103,2100301,34,2571.1,1613.4,148,8,unpinned,2048,2048,512,42,256
6,2026-07-18T19:11:10,12082.734,97.952,103.521,106.306,108.713,98.223,10.181,256,496,60.0,83.0,23.0,7939,2106575,34,2532.4,1550.2,148,8,unpinned,2048,2048,512,42,256
7,2026-07-18T19:12:21,12143.808,97.79,102.589,105.055,105.793,97.771,10.228,256,496,60.0,79.0,19.0,8328,2100906,34,2536.5,1669.5,148,8,unpinned,2048,2048,512,42,256
8,2026-07-18T19:13:31,12118.261,97.618,103.216,105.29,107.82,97.857,10.219,256,496,59.0,80.0,21.0,8347,2111648,34,2540.0,1632.0,148,8,unpinned,2048,2048,512,42,256
9,2026-07-18T19:14:41,12086.613,97.897,102.857,105.066,107.324,98.059,10.198,256,496,59.0,84.0,25.0,7789,2108511,34,2529.6,1774.7,148,8,unpinned,2048,2048,512,42,256
10,2026-07-18T19:15:52,12051.253,98.862,103.984,105.999,106.553,99.088,10.092,256,496,60.0,84.0,24.0,8306,2111022,34,2565.3,1696.5,149,8,unpinned,2048,2048,512,42,256
11,2026-07-18T19:17:02,12145.004,98.825,103.98,105.945,106.948,98.953,10.106,256,496,60.0,83.0,23.0,8309,2115361,34,2551.5,1659.8,149,8,unpinned,2048,2048,512,42,256
12,2026-07-18T19:18:13,12106.914,99.094,104.052,106.233,110.286,99.321,10.068,256,496,61.0,81.0,20.0,8228,2097945,34,2515.9,1685.2,150,8,unpinned,2048,2048,512,42,256
13,2026-07-18T19:19:24,12201.101,99.037,104.15,107.684,108.977,99.128,10.088,256,496,60.0,80.0,20.0,8147,2126894,34,2543.9,1601.7,150,8,unpinned,2048,2048,512,42,256
14,2026-07-18T19:20:34,12235.677,98.652,104.362,105.43,106.246,98.866,10.115,256,496,59.0,80.0,21.0,7990,2096569,34,2520.8,1653.4,150,8,unpinned,2048,2048,512,42,256
15,2026-07-18T19:21:45,12127.169,98.314,104.965,106.243,108.193,98.538,10.148,256,496,59.0,84.0,25.0,8226,2103287,34,2525.5,1618.4,149,8,unpinned,2048,2048,512,42,256
16,2026-07-18T19:22:55,12174.139,98.922,104.635,106.528,108.354,99.134,10.087,256,496,59.0,82.0,23.0,8031,2100305,34,2516.0,1649.5,150,8,unpinned,2048,2048,512,42,256
17,2026-07-18T19:24:06,12214.674,98.231,103.221,105.817,107.768,98.424,10.16,256,496,60.0,82.0,22.0,8089,2097685,34,2535.8,1632.4,149,8,unpinned,2048,2048,512,42,256
18,2026-07-18T19:25:16,12185.353,98.182,103.067,105.1,106.445,98.353,10.167,256,496,60.0,84.0,24.0,7988,2109708,34,2537.5,1732.0,149,8,unpinned,2048,2048,512,42,256
19,2026-07-18T19:26:27,12168.964,97.904,103.42,107.021,108.944,98.041,10.2,256,496,61.0,82.0,21.0,8722,2105068,34,2525.4,1852.9,149,8,unpinned,2048,2048,512,42,256
20,2026-07-18T19:27:37,12128.181,97.83,104.476,106.44,110.742,98.253,10.178,256,496,60.0,81.0,21.0,8223,2106827,34,2533.7,1682.0,149,8,unpinned,2048,2048,512,42,256
