variant,round,run_seq,timestamp,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,itl_mean_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,temp_delta_c,migrations,ctx_switches,threads_seen,freq_p_avg_mhz,freq_p_busy_mhz,freq_e_avg_mhz,freq_samples,threads,cpus,ctx,batch,ubatch,seed,n_predict
p_nosmt,1,1,2026-07-18T19:35:43,10959.893,86.568,91.407,92.484,95.427,87.152,11.474,256,496,55.0,78.0,23.0,4914,2028777,34,2710.4,4204.0,1662.2,133,8,"0,2,4,6,8,10,12,14",2048,2048,512,42,256
unpinned,1,2,2026-07-18T19:36:53,12066.557,98.606,105.186,108.313,114.057,99.228,10.078,256,496,58.0,84.0,26.0,8700,2113129,34,2561.0,4169.2,1887.6,149,8,unpinned,2048,2048,512,42,256
p_smt_forced,1,3,2026-07-18T19:38:12,17903.374,106.566,107.503,108.261,108.505,106.61,9.38,256,496,59.0,86.0,27.0,1026821,2383961,34,2757.1,4603.9,918.6,180,8,0-7,2048,2048,512,42,256
p_all,1,4,2026-07-18T19:39:18,11011.262,86.017,86.753,90.71,94.243,86.209,11.6,256,496,58.0,78.0,20.0,3454,2018667,34,2763.1,4209.1,1096.9,132,8,0-15,2048,2048,512,42,256
e_only,1,5,2026-07-18T19:41:14,24978.982,222.376,225.236,226.333,230.385,221.954,4.505,256,496,59.0,67.0,8.0,2202,2042086,34,859.4,948.4,3665.1,326,8,16-23,2048,2048,512,42,256
unpinned,2,6,2026-07-18T19:42:25,12100.949,98.533,103.753,105.414,107.176,98.736,10.128,256,496,58.0,79.0,21.0,8033,2105800,34,2528.1,4131.0,1579.1,149,8,unpinned,2048,2048,512,42,256
p_nosmt,2,7,2026-07-18T19:43:31,11025.237,85.924,90.464,91.299,104.561,86.561,11.553,256,496,59.0,77.0,18.0,4078,2022519,34,2705.4,4204.4,1148.5,132,8,"0,2,4,6,8,10,12,14",2048,2048,512,42,256
e_only,2,8,2026-07-18T19:45:29,25270.785,224.82,228.049,228.977,231.305,224.711,4.45,256,496,58.0,69.0,11.0,2821,2031310,34,1001.0,1248.8,3661.1,330,8,16-23,2048,2048,512,42,256
p_smt_forced,2,9,2026-07-18T19:46:47,17725.127,106.709,108.18,109.3,111.954,106.84,9.36,256,496,57.0,86.0,29.0,1027305,2379153,34,2810.5,4612.9,1038.9,180,8,0-7,2048,2048,512,42,256
p_all,2,10,2026-07-18T19:47:53,10953.36,86.439,87.461,89.135,91.193,86.598,11.548,256,496,58.0,79.0,21.0,5509,2016898,34,2749.0,4169.0,1389.8,132,8,0-15,2048,2048,512,42,256
p_nosmt,3,11,2026-07-18T19:48:59,11036.783,86.06,89.52,92.336,93.427,86.531,11.557,256,496,58.0,78.0,20.0,4699,2031668,34,2692.5,4195.2,1186.2,132,8,"0,2,4,6,8,10,12,14",2048,2048,512,42,256
unpinned,3,12,2026-07-18T19:50:10,12113.446,98.681,103.787,105.887,107.758,98.918,10.109,256,496,57.0,85.0,28.0,7995,2102767,34,2569.7,4153.9,1703.0,149,8,unpinned,2048,2048,512,42,256
e_only,3,13,2026-07-18T19:52:06,24973.543,222.361,225.576,226.284,227.086,222.145,4.502,256,496,59.0,69.0,10.0,1318,2011090,34,859.9,973.1,3657.1,326,8,16-23,2048,2048,512,42,256
p_smt_forced,3,14,2026-07-18T19:53:24,17780.42,106.576,107.708,108.138,109.005,106.623,9.379,256,496,57.0,81.0,24.0,1025698,2378544,34,2762.3,4616.2,889.4,180,8,0-7,2048,2048,512,42,256
p_all,3,15,2026-07-18T19:54:31,11018.525,86.046,86.624,90.15,95.82,86.22,11.598,256,496,58.0,78.0,20.0,3411,2027004,34,2756.7,4193.0,1016.1,132,8,0-15,2048,2048,512,42,256
p_smt_forced,4,16,2026-07-18T19:55:49,18008.833,106.535,107.682,108.219,108.481,106.611,9.38,256,496,59.0,82.0,23.0,1030013,2377202,34,2758.2,4584.1,933.4,181,8,0-7,2048,2048,512,42,256
e_only,4,17,2026-07-18T19:57:46,24925.916,222.848,225.699,226.396,227.007,222.61,4.492,256,496,58.0,67.0,9.0,1614,2039048,34,847.0,937.6,3664.6,327,8,16-23,2048,2048,512,42,256
p_nosmt,4,18,2026-07-18T19:58:52,11002.688,85.966,89.357,90.092,92.03,86.25,11.594,256,496,57.0,77.0,20.0,2680,2029212,34,2684.5,4181.5,1036.9,132,8,"0,2,4,6,8,10,12,14",2048,2048,512,42,256
unpinned,4,19,2026-07-18T20:00:03,12156.343,99.144,104.434,106.2,108.054,99.36,10.064,256,496,58.0,79.0,21.0,7987,2096095,34,2504.8,4092.5,1610.2,150,8,unpinned,2048,2048,512,42,256
p_all,4,20,2026-07-18T20:01:09,10974.246,86.108,86.703,90.246,95.758,86.289,11.589,256,496,59.0,79.0,20.0,2817,2045432,34,2748.7,4214.3,1073.8,132,8,0-15,2048,2048,512,42,256
e_only,5,21,2026-07-18T20:03:06,25111.152,223.374,226.251,227.183,227.535,222.905,4.486,256,496,58.0,66.0,8.0,1193,2019009,34,869.3,977.7,3664.1,328,8,16-23,2048,2048,512,42,256
p_smt_forced,5,22,2026-07-18T20:04:24,17882.975,107.088,108.894,109.55,109.915,107.299,9.32,256,496,57.0,81.0,24.0,1028559,2383839,34,2804.0,4599.3,1154.4,181,8,0-7,2048,2048,512,42,256
p_nosmt,5,23,2026-07-18T20:05:30,10961.103,86.029,86.639,89.588,90.036,86.177,11.604,256,496,58.0,77.0,19.0,3004,2020169,34,2686.5,4178.1,1118.1,132,8,"0,2,4,6,8,10,12,14",2048,2048,512,42,256
p_all,5,24,2026-07-18T20:06:37,11000.605,86.027,86.352,86.762,87.246,86.044,11.622,256,496,59.0,77.0,18.0,3140,2027679,34,2723.6,4201.4,1027.8,132,8,0-15,2048,2048,512,42,256
unpinned,5,25,2026-07-18T20:07:47,12083.104,97.234,103.083,104.505,106.057,97.411,10.266,256,496,58.0,78.0,20.0,8013,2104860,34,2549.1,4162.4,1570.0,148,8,unpinned,2048,2048,512,42,256
e_only,6,26,2026-07-18T20:09:43,25049.501,222.997,226.224,227.885,230.893,222.824,4.488,256,496,58.0,67.0,9.0,2592,2037557,34,879.8,998.3,3663.6,327,8,16-23,2048,2048,512,42,256
p_smt_forced,6,27,2026-07-18T20:11:02,17816.089,106.512,107.636,108.267,108.633,106.624,9.379,256,496,58.0,81.0,23.0,1032141,2380802,34,2766.4,4603.5,840.1,180,8,0-7,2048,2048,512,42,256
p_nosmt,6,28,2026-07-18T20:12:08,10940.335,85.835,90.888,93.285,95.661,86.835,11.516,256,496,58.0,80.0,22.0,4136,2033990,34,2680.4,4173.8,1238.7,132,8,"0,2,4,6,8,10,12,14",2048,2048,512,42,256
unpinned,6,29,2026-07-18T20:13:19,12113.832,98.561,103.484,105.565,108.116,98.62,10.14,256,496,59.0,80.0,21.0,8241,2096149,34,2558.0,4169.5,1682.6,149,8,unpinned,2048,2048,512,42,256
p_all,6,30,2026-07-18T20:14:25,11010.887,86.075,87.447,90.474,95.522,86.3,11.588,256,496,58.0,78.0,20.0,3697,2033286,34,2732.1,4191.1,1102.7,132,8,0-15,2048,2048,512,42,256
p_all,7,31,2026-07-18T20:15:31,10894.743,86.029,89.389,91.227,93.613,86.343,11.582,256,496,58.0,77.0,19.0,2186,2028431,34,2742.8,4220.1,984.5,132,8,0-15,2048,2048,512,42,256
e_only,7,32,2026-07-18T20:17:28,25014.503,223.612,226.202,227.024,227.878,223.278,4.479,256,496,58.0,67.0,9.0,2272,2010096,34,849.7,956.7,3659.7,328,8,16-23,2048,2048,512,42,256
unpinned,7,33,2026-07-18T20:18:39,12167.795,98.522,103.612,105.159,108.525,98.728,10.129,256,496,57.0,78.0,21.0,8081,2098119,34,2552.6,4162.2,1698.3,149,8,unpinned,2048,2048,512,42,256
p_nosmt,7,34,2026-07-18T20:19:45,11026.057,85.945,86.212,89.604,90.671,86.034,11.623,256,496,58.0,77.0,19.0,2434,2033995,34,2674.1,4199.6,972.3,132,8,"0,2,4,6,8,10,12,14",2048,2048,512,42,256
p_smt_forced,7,35,2026-07-18T20:21:03,17992.498,106.633,107.707,108.246,109.252,106.67,9.375,256,496,59.0,85.0,26.0,1030664,2381200,34,2740.1,4591.0,914.0,181,8,0-7,2048,2048,512,42,256
unpinned,8,36,2026-07-18T20:22:14,12181.401,98.93,104.474,106.858,109.28,99.151,10.086,256,496,58.0,79.0,21.0,8080,2103642,34,2541.6,4153.9,1652.0,150,8,unpinned,2048,2048,512,42,256
p_nosmt,8,37,2026-07-18T20:23:20,11003.996,85.973,90.39,91.967,95.958,86.876,11.511,256,496,58.0,78.0,20.0,3093,2028166,34,2659.8,4186.4,1021.9,133,8,"0,2,4,6,8,10,12,14",2048,2048,512,42,256
p_all,8,38,2026-07-18T20:24:27,10976.509,86.093,91.141,99.384,104.377,86.802,11.52,256,496,59.0,77.0,18.0,10690,2037089,34,2763.0,4173.1,1164.8,132,8,0-15,2048,2048,512,42,256
p_smt_forced,8,39,2026-07-18T20:25:45,18036.047,106.751,107.67,108.295,108.486,106.759,9.367,256,496,59.0,83.0,24.0,1027441,2378017,34,2739.7,4593.9,894.1,181,8,0-7,2048,2048,512,42,256
e_only,8,40,2026-07-18T20:27:42,25177.466,223.345,225.893,227.736,228.033,223.166,4.481,256,496,58.0,66.0,8.0,2733,2026148,34,866.6,963.1,3655.3,328,8,16-23,2048,2048,512,42,256
