arm,round,timestamp,cpus,threads_decode,threads_batch,ttft_ms,prefill_tps,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,decode_tps,n_tokens,total_migrations,total_ctx_switches,energy_j,j_per_token,temp_start_c,temp_end_c,switch_detected,switch_lead_ms,switch_apply_cost_us,migration_burst_200ms,ctx_burst_200ms,itl_tail_mean_ms,itl_first10_ms
A_P8,1,2026-07-19T02:55:23,"0,2,4,6,8,10,12,14",8,8,11043.44,44.91,86.459,90.932,94.701,98.142,11.479,256,6941,2013774,2827.8,11.046,51.0,77.0,True,-111.3,,18,14281,86.774,"[94.93, 92.07, 90.93, 90.91, 92.34, 90.38, 90.42, 90.62, 91.05, 91.09]"
SWITCH,1,2026-07-19T02:56:28,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,9754.27,50.85,86.001,86.637,87.436,88.322,11.617,256,7948,1999714,2683.8,10.484,55.0,77.0,True,-126.3,108.1,2658,16740,86.074,"[86.78, 86.11, 87.88, 86.67, 86.47, 86.09, 87.05, 85.74, 85.8, 85.68]"
C_P8_E8,1,2026-07-19T02:57:36,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,9768.83,50.77,95.866,100.051,102.649,104.343,10.413,256,62388,4552553,2868.3,11.204,54.0,74.0,True,-101.4,,329,34000,95.874,"[94.42, 99.2, 96.68, 97.7, 96.34, 93.74, 98.31, 96.6, 97.62, 99.35]"
SWITCH,2,2026-07-19T02:58:41,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,9649.77,51.4,86.167,86.766,89.774,90.181,11.587,256,6607,2011577,2679.8,10.468,56.0,76.0,True,-105.1,206.9,2198,17644,86.322,"[86.62, 86.17, 86.18, 86.05, 85.87, 85.8, 85.97, 86.3, 85.93, 85.84]"
A_P8,2,2026-07-19T02:59:48,"0,2,4,6,8,10,12,14",8,8,10985.0,45.15,86.02,88.066,90.731,94.784,11.59,256,3389,2025320,2803.6,10.952,55.0,78.0,True,-103.3,,32,14769,86.092,"[94.78, 92.51, 90.6, 90.89, 90.42, 90.12, 90.1, 89.49, 89.29, 89.54]"
C_P8_E8,2,2026-07-19T03:00:55,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,9763.6,50.8,95.219,99.231,100.677,101.777,10.474,256,52136,4507073,2885.4,11.271,55.0,74.0,True,-116.2,,369,32507,95.488,"[97.44, 95.07, 95.01, 96.36, 94.22, 93.4, 95.26, 94.01, 92.53, 97.47]"
SWITCH,3,2026-07-19T03:02:01,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,9727.67,50.99,86.055,86.574,86.985,87.798,11.612,256,7318,2012681,2681.1,10.473,55.0,78.0,True,-125.7,300.6,2695,16791,86.126,"[86.7, 85.98, 85.75, 85.83, 85.91, 85.82, 86.12, 85.86, 85.89, 86.38]"
C_P8_E8,3,2026-07-19T03:03:08,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,9740.23,50.92,96.232,100.113,101.092,102.776,10.387,256,61773,4475501,2868.5,11.205,56.0,72.0,True,-92.5,,302,34703,96.328,"[93.61, 93.34, 97.28, 97.59, 97.95, 93.51, 95.23, 97.28, 97.75, 97.58]"
A_P8,3,2026-07-19T03:04:15,"0,2,4,6,8,10,12,14",8,8,11002.04,45.08,86.188,89.828,91.957,94.594,11.55,256,3858,2035535,2812.1,10.985,56.0,78.0,True,-115.1,,26,14508,86.361,"[94.59, 92.73, 91.99, 91.93, 89.81, 89.88, 89.63, 89.59, 89.97, 89.77]"
SWITCH,4,2026-07-19T03:05:20,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,9801.85,50.6,86.134,86.741,87.126,87.819,11.597,256,7232,2007543,2691.2,10.512,56.0,77.0,True,-107.5,197.8,2221,17573,86.232,"[86.67, 85.93, 86.04, 86.03, 86.08, 85.76, 85.88, 86.42, 85.98, 85.94]"
