arm,round,timestamp,cpus,threads_decode,threads_batch,ttft_ms,prefill_tps,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,decode_tps,n_tokens,total_migrations,total_ctx_switches,energy_j,j_per_token,temp_start_c,temp_end_c,switch_detected,switch_lead_ms,switch_apply_cost_us,migration_burst_200ms,ctx_burst_200ms,itl_tail_mean_ms,itl_first10_ms,load_threads,load_cpus,load_rate,load_iters
A_P8,1,2026-07-19T03:33:13,"0,2,4,6,8,10,12,14",8,8,11597.9,42.77,88.24,89.894,94.457,98.801,11.295,256,35617,2054480,2910.6,11.369,59.0,73.0,True,-112.1,,218,14692,88.411,"[90.63, 89.2, 89.3, 89.31, 89.19, 88.6, 88.78, 94.36, 98.8, 94.89]",16,16-23,18028.1,714080
SWITCH,1,2026-07-19T03:34:23,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,11768.34,42.15,88.245,89.639,90.759,93.207,11.304,256,30988,2055330,2923.3,11.419,60.0,76.0,True,-121.2,185.9,2384,15907,88.478,"[88.66, 88.4, 88.49, 87.78, 87.87, 87.82, 88.02, 87.74, 88.15, 88.25]",16,16-23,18021.1,716683
C_P8_E8,1,2026-07-19T03:35:35,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,11771.93,42.13,98.309,99.37,99.898,101.216,10.159,256,1580489,5284452,3135.2,12.247,61.0,74.0,True,-124.1,,11121,36095,98.446,"[98.25, 98.86, 98.46, 98.31, 98.47, 97.78, 98.04, 97.89, 98.01, 98.15]",16,16-23,18124.7,766907
SWITCH,2,2026-07-19T03:36:45,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,11739.42,42.25,88.261,89.784,91.067,93.264,11.298,256,35270,2042345,2922.4,11.415,62.0,75.0,True,-131.2,177.4,2739,16142,88.508,"[89.44, 88.22, 87.83, 87.75, 88.04, 88.01, 87.83, 88.47, 88.28, 89.03]",16,16-23,18012.8,715892
A_P8,2,2026-07-19T03:37:55,"0,2,4,6,8,10,12,14",8,8,11603.38,42.75,89.56,91.293,93.057,102.381,11.147,256,56965,2062533,2936.8,11.472,61.0,74.0,True,-121.6,,237,14322,89.666,"[90.08, 88.4, 88.1, 88.54, 90.19, 88.98, 88.31, 89.58, 89.13, 88.3]",16,16-23,18047.4,720465
C_P8_E8,2,2026-07-19T03:39:07,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,11767.19,42.15,98.239,99.412,100.176,123.032,10.158,256,1589584,5284013,3134.1,12.243,61.0,75.0,True,-117.0,,10850,35033,98.473,"[98.07, 97.77, 98.06, 98.29, 97.78, 98.57, 97.88, 97.5, 97.89, 97.51]",16,16-23,18123.0,766548
SWITCH,3,2026-07-19T03:40:17,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,11744.0,42.23,88.231,89.547,90.698,91.751,11.307,256,30900,2024666,2919.6,11.405,62.0,71.0,True,-136.7,162.2,2943,16593,88.464,"[89.25, 88.14, 88.22, 87.75, 87.64, 88.57, 87.75, 87.75, 88.35, 88.58]",16,16-23,18032.0,716770
C_P8_E8,3,2026-07-19T03:41:29,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,11736.52,42.26,98.209,102.118,125.139,126.947,10.068,256,1627789,5290616,3149.6,12.303,62.0,76.0,True,-135.2,,10919,36417,99.441,"[97.88, 98.27, 98.29, 98.18, 97.86, 97.91, 97.61, 98.66, 97.51, 97.54]",16,16-23,18116.4,769868
A_P8,3,2026-07-19T03:42:39,"0,2,4,6,8,10,12,14",8,8,11537.92,42.99,88.372,90.025,92.403,97.514,11.278,256,38591,2051179,2907.3,11.357,60.0,75.0,True,-104.8,,421,15239,88.694,"[91.09, 88.29, 88.03, 88.35, 87.89, 88.26, 87.72, 87.62, 87.94, 88.19]",16,16-23,18047.6,714396
SWITCH,4,2026-07-19T03:43:49,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,11720.81,42.32,88.214,89.803,90.363,91.733,11.309,256,27561,2020814,2919.6,11.405,60.0,74.0,True,-132.3,180.7,2686,16025,88.429,"[88.3, 89.61, 89.79, 89.62, 88.28, 87.79, 88.34, 87.8, 88.1, 87.83]",16,16-23,18125.3,719763
C_P8_E8,4,2026-07-19T03:45:01,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,11713.33,42.34,97.939,98.954,99.507,100.421,10.199,256,1578503,5284723,3122.5,12.197,59.0,74.0,True,-129.7,,11202,35766,98.059,"[99.49, 97.18, 97.51, 97.6, 98.76, 98.0, 98.34, 97.7, 97.86, 97.33]",16,16-23,18193.1,765674
