arm,round,timestamp,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,decode_tps,n_tokens,energy_j,j_per_token,build_wall_s,build_passes,build_rate,total_migrations,temp_start_c,temp_end_c,switch_detected
A_P8,1,2026-07-20T00:58:26,14469.86,110.469,259.494,285.267,7.62,256,4188.0,16.359,49.94,17,0.3404,380725,68.0,80.0,True
SWITCH_idle,1,2026-07-20T00:59:42,11348.47,98.319,191.337,206.922,8.902,256,3505.1,13.692,42.0,12,0.2857,33649,61.0,82.0,True
SWITCH,1,2026-07-20T01:01:03,12236.71,110.699,249.829,279.724,7.642,256,3989.7,15.585,47.61,16,0.3361,377550,62.0,82.0,True
C_P8_E8,1,2026-07-20T01:02:29,12541.27,123.05,288.046,323.67,6.848,256,4333.1,16.926,51.78,17,0.3283,1230847,63.0,86.0,True
SWITCH_weight,1,2026-07-20T01:03:50,12455.07,110.282,247.649,263.093,7.712,256,3973.4,15.521,47.52,16,0.3367,371601,63.0,84.0,True
A_P8,2,2026-07-20T01:05:13,14138.32,110.408,248.928,285.019,7.704,256,4118.9,16.089,49.24,17,0.3452,372297,63.0,86.0,True
SWITCH,2,2026-07-20T01:06:35,12271.25,110.106,251.211,270.015,7.736,256,3948.9,15.425,47.24,16,0.3387,363901,63.0,86.0,True
C_P8_E8,2,2026-07-20T01:08:00,12486.04,122.735,306.873,332.703,6.859,256,4311.2,16.84,51.66,17,0.3291,1220175,64.0,85.0,True
SWITCH_weight,2,2026-07-20T01:09:22,12593.46,111.452,254.362,278.702,7.577,256,4037.5,15.772,48.25,16,0.3316,384497,64.0,87.0,True
SWITCH_idle,2,2026-07-20T01:10:38,11136.2,98.24,191.858,209.241,8.935,256,3482.1,13.602,41.68,12,0.2879,27109,63.0,84.0,True
SWITCH_idle,3,2026-07-20T01:11:54,11281.23,97.559,187.975,209.503,9.058,256,3406.4,13.306,41.44,11,0.2654,26302,64.0,83.0,True
A_P8,3,2026-07-20T01:13:17,14230.62,110.112,252.594,268.457,7.689,256,4138.5,16.166,49.4,17,0.3441,378358,63.0,84.0,True
SWITCH,3,2026-07-20T01:14:38,12564.5,110.373,249.774,276.149,7.786,256,3954.7,15.448,47.32,16,0.3381,369002,64.0,86.0,True
C_P8_E8,3,2026-07-20T01:16:04,12676.46,122.814,300.123,329.043,6.875,256,4325.3,16.896,51.77,17,0.3284,1240620,63.0,86.0,True
SWITCH_weight,3,2026-07-20T01:17:25,12556.47,109.704,252.236,274.48,7.761,256,3964.7,15.487,47.42,16,0.3374,369302,64.0,86.0,True
SWITCH,4,2026-07-20T01:18:47,12644.95,109.42,249.024,263.194,7.782,256,,,47.41,16,0.3375,367407,64.0,82.0,True
SWITCH_weight,4,2026-07-20T01:20:08,12648.07,110.491,255.642,280.77,7.715,256,3988.3,15.579,47.7,16,0.3354,367840,65.0,88.0,True
A_P8,4,2026-07-20T01:21:31,14094.06,110.227,252.975,268.818,7.707,256,4121.5,16.1,49.18,17,0.3457,373128,64.0,86.0,True
C_P8_E8,4,2026-07-20T01:22:57,12371.52,123.997,308.561,340.959,6.838,256,4320.7,16.878,51.66,16,0.3097,1201958,64.0,86.0,True
SWITCH_idle,4,2026-07-20T01:24:13,11254.13,98.142,193.152,203.973,8.931,256,3492.9,13.644,41.81,12,0.287,25337,65.0,83.0,True
A_P8,5,2026-07-20T01:25:36,14330.73,111.05,252.202,263.643,7.689,256,4149.2,16.208,49.5,18,0.3636,366990,63.0,87.0,True
SWITCH,5,2026-07-20T01:26:58,12719.18,109.644,252.446,263.934,7.813,256,3959.0,15.465,47.36,16,0.3378,365746,63.0,89.0,True
SWITCH_idle,5,2026-07-20T01:28:13,11322.02,97.911,190.844,201.378,8.963,256,3487.9,13.625,41.77,12,0.2873,25634,65.0,85.0,True
SWITCH_weight,5,2026-07-20T01:29:35,12257.09,109.934,253.725,272.708,7.735,256,3950.5,15.432,47.23,16,0.3388,368010,63.0,86.0,True
C_P8_E8,5,2026-07-20T01:31:00,12587.89,121.918,293.555,330.176,6.895,256,4281.5,16.724,51.57,17,0.3296,1201445,64.0,83.0,True
SWITCH_weight,6,2026-07-20T01:32:22,12519.4,110.194,247.717,276.387,7.683,256,3988.1,15.579,47.71,16,0.3354,370457,63.0,84.0,True
SWITCH,6,2026-07-20T01:33:43,12622.93,109.404,259.873,282.827,7.788,256,3961.8,15.476,47.37,16,0.3378,371515,63.0,86.0,True
SWITCH_idle,6,2026-07-20T01:34:59,11174.38,99.545,195.641,211.166,8.784,256,3523.0,13.762,42.21,12,0.2843,38561,64.0,87.0,True
C_P8_E8,6,2026-07-20T01:36:25,12393.12,122.306,288.692,333.277,6.851,256,4287.4,16.748,51.62,17,0.3293,1230251,63.0,86.0,True
A_P8,6,2026-07-20T01:37:48,14420.88,110.176,249.262,261.721,7.807,256,4115.0,16.074,49.09,17,0.3463,367979,65.0,84.0,True
