arm,round,run_seq,timestamp,llm_cpus,load_cpus,load_threads,cpus,threads,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,itl_mean_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,temp_delta_c,migrations,ctx_switches,threads_seen,freq_p_avg_mhz,freq_p_busy_mhz,freq_e_avg_mhz,seed,n_predict
A_no_load,1,1,2026-07-18T22:20:52,"0,2,4,6,8,10,12,14",none,0,"0,2,4,6,8,10,12,14",8,11042.629,85.99,90.805,91.186,96.016,87.157,11.474,256,496,54.0,73.0,19.0,3013,2008906,34,2692.5,4201.1,1269.7,42,256
C_llmP_loadfree,1,2,2026-07-18T22:22:12,"0,2,4,6,8,10,12,14",unpinned,16,"0,2,4,6,8,10,12,14",8,17773.38,101.846,109.156,123.22,125.458,103.242,9.686,256,496,70.0,77.0,7.0,41321,2199281,34,3891.0,3902.8,3283.4,42,256
D_llmP_loadE,1,3,2026-07-18T22:23:21,"0,2,4,6,8,10,12,14",16-23,16,"0,2,4,6,8,10,12,14",8,11533.412,87.747,88.908,90.566,93.466,87.95,11.37,256,496,61.0,75.0,14.0,13088,2035520,34,2785.1,3866.2,3293.0,42,256
B_both_free,1,4,2026-07-18T22:24:41,unpinned,unpinned,16,unpinned,8,17612.768,100.833,113.083,118.273,119.397,102.044,9.8,256,496,71.0,78.0,7.0,59794,2192060,34,3887.9,3892.5,3285.1,42,256
D_llmP_loadE,2,5,2026-07-18T22:25:51,"0,2,4,6,8,10,12,14",16-23,16,"0,2,4,6,8,10,12,14",8,11583.021,88.228,92.134,97.864,101.874,88.937,11.244,256,496,62.0,75.0,13.0,37659,2052369,34,2950.3,3878.9,3296.2,42,256
A_no_load,2,6,2026-07-18T22:26:57,"0,2,4,6,8,10,12,14",none,0,"0,2,4,6,8,10,12,14",8,10962.217,85.944,86.171,86.3,86.622,85.96,11.633,256,496,56.0,77.0,21.0,2545,2016075,34,2678.3,4211.4,950.6,42,256
B_both_free,2,7,2026-07-18T22:28:16,unpinned,unpinned,16,unpinned,8,17676.158,101.081,104.551,113.483,117.133,101.632,9.839,256,496,72.0,79.0,7.0,29201,2183253,34,3867.1,3874.7,3278.5,42,256
C_llmP_loadfree,2,8,2026-07-18T22:29:39,"0,2,4,6,8,10,12,14",unpinned,16,"0,2,4,6,8,10,12,14",8,17953.898,118.939,127.125,130.985,133.166,113.016,8.848,256,496,73.0,79.0,6.0,181721,2328508,34,3917.3,3928.4,3313.0,42,256
B_both_free,3,9,2026-07-18T22:30:58,unpinned,unpinned,16,unpinned,8,17630.798,100.87,103.55,105.546,113.804,101.217,9.88,256,496,73.0,79.0,6.0,20598,2162831,34,3869.9,3875.6,3279.0,42,256
A_no_load,3,10,2026-07-18T22:32:04,"0,2,4,6,8,10,12,14",none,0,"0,2,4,6,8,10,12,14",8,11030.984,85.97,90.575,91.859,96.063,86.89,11.509,256,496,58.0,78.0,20.0,2984,2038315,34,2665.2,4188.2,1134.4,42,256
