arm,round,run_seq,timestamp,llm_cpus,load_cpus,load_threads,cpus,threads,ttft_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,itl_mean_ms,decode_tps,n_tokens,prompt_tokens,temp_start_c,temp_end_c,temp_delta_c,migrations,ctx_switches,threads_seen,freq_p_avg_mhz,freq_p_busy_mhz,freq_e_avg_mhz,seed,n_predict,load_iters,load_rate,load_elapsed_s
A_no_load,1,1,2026-07-18T22:58:06,"0,2,4,6,8,10,12,14",none,0,"0,2,4,6,8,10,12,14",8,10985.164,86.195,90.712,97.515,98.921,86.854,11.514,256,496,56.0,74.0,18.0,8019,2016315,34,2700.4,4193.5,1446.7,42,256,,,
C_llmP_loadfree,1,2,2026-07-18T22:59:27,"0,2,4,6,8,10,12,14",unpinned,16,"0,2,4,6,8,10,12,14",8,17556.802,101.338,124.218,126.153,127.512,107.884,9.269,256,496,71.0,77.0,6.0,110262,2268894,34,3906.0,3913.0,3298.5,42,256,1982025,38779.8,51.11
D_llmP_loadE,1,3,2026-07-18T23:00:37,"0,2,4,6,8,10,12,14",16-23,16,"0,2,4,6,8,10,12,14",8,11532.17,87.745,89.882,107.645,110.992,88.519,11.297,256,496,63.0,74.0,11.0,27386,2042338,34,2780.3,3890.8,3294.2,42,256,705387,17953.9,39.289
B_both_free,1,4,2026-07-18T23:01:57,unpinned,unpinned,16,unpinned,8,18354.14,100.907,104.611,107.771,111.012,101.406,9.861,256,496,82.0,77.0,-5.0,28599,2204194,34,3906.2,3912.4,3291.8,42,256,1949564,38746.5,50.316
D_llmP_loadE,2,5,2026-07-18T23:03:06,"0,2,4,6,8,10,12,14",16-23,16,"0,2,4,6,8,10,12,14",8,11531.695,87.829,89.254,90.062,90.446,88.013,11.362,256,496,63.0,74.0,11.0,16036,2033396,34,3001.6,3886.1,3297.0,42,256,702854,17951.3,39.153
A_no_load,2,6,2026-07-18T23:04:13,"0,2,4,6,8,10,12,14",none,0,"0,2,4,6,8,10,12,14",8,10972.142,86.075,92.61,93.658,95.181,87.172,11.472,256,496,58.0,77.0,19.0,3725,2030692,34,2690.8,4186.4,1222.8,42,256,,,
B_both_free,2,7,2026-07-18T23:05:32,unpinned,unpinned,16,unpinned,8,17668.493,100.763,103.019,104.168,107.737,101.079,9.893,256,496,72.0,78.0,6.0,21252,2180557,34,3895.1,3895.2,3280.5,42,256,1902197,38677.9,49.18
C_llmP_loadfree,2,8,2026-07-18T23:06:54,"0,2,4,6,8,10,12,14",unpinned,16,"0,2,4,6,8,10,12,14",8,17737.424,103.371,128.605,162.116,169.359,111.593,8.961,256,496,73.0,79.0,6.0,168850,2301560,34,3896.4,3905.5,3299.9,42,256,2029593,38858.7,52.23
B_both_free,3,9,2026-07-18T23:08:14,unpinned,unpinned,16,unpinned,8,17734.364,101.155,103.561,104.368,105.152,101.394,9.863,256,496,73.0,78.0,5.0,19075,2168944,34,3868.5,3877.3,3279.9,42,256,1923649,38711.1,49.692
A_no_load,3,10,2026-07-18T23:09:20,"0,2,4,6,8,10,12,14",none,0,"0,2,4,6,8,10,12,14",8,10938.504,85.915,86.481,89.755,90.756,86.035,11.623,256,496,58.0,78.0,20.0,2800,2021854,34,2676.9,4169.9,1083.2,42,256,,,
C_llmP_loadfree,3,11,2026-07-18T23:10:41,"0,2,4,6,8,10,12,14",unpinned,16,"0,2,4,6,8,10,12,14",8,17809.247,101.886,123.387,124.454,127.518,108.555,9.212,256,496,73.0,78.0,5.0,118854,2285780,34,3916.7,3924.6,3308.9,42,256,2008745,38956.8,51.563
D_llmP_loadE,3,12,2026-07-18T23:11:50,"0,2,4,6,8,10,12,14",16-23,16,"0,2,4,6,8,10,12,14",8,11530.204,87.759,89.264,90.601,93.048,88.026,11.36,256,496,62.0,73.0,11.0,15581,2017853,34,2981.3,3879.9,3287.9,42,256,702137,17963.4,39.087
D_llmP_loadE,4,13,2026-07-18T23:13:00,"0,2,4,6,8,10,12,14",16-23,16,"0,2,4,6,8,10,12,14",8,11552.885,87.8,89.216,89.846,90.245,88.01,11.362,256,496,63.0,75.0,12.0,15371,2028477,34,2839.9,3882.3,3289.6,42,256,703306,17954.9,39.171
C_llmP_loadfree,4,14,2026-07-18T23:14:19,"0,2,4,6,8,10,12,14",unpinned,16,"0,2,4,6,8,10,12,14",8,17749.567,100.982,103.408,104.005,104.595,101.309,9.871,256,496,73.0,78.0,5.0,20008,2191077,34,3886.6,3888.9,3281.4,42,256,1927112,38827.9,49.632
A_no_load,4,15,2026-07-18T23:15:26,"0,2,4,6,8,10,12,14",none,0,"0,2,4,6,8,10,12,14",8,11151.505,86.039,89.547,90.239,94.685,86.398,11.574,256,496,58.0,77.0,19.0,3753,2038045,34,2688.5,4173.8,1248.9,42,256,,,
B_both_free,4,16,2026-07-18T23:16:49,unpinned,unpinned,16,unpinned,8,19486.308,109.948,111.962,113.831,115.148,110.25,9.07,256,496,72.0,79.0,7.0,17735,2217891,34,3787.0,3962.1,3318.6,42,256,2064902,38440.5,53.717
A_no_load,5,17,2026-07-18T23:17:56,"0,2,4,6,8,10,12,14",none,0,"0,2,4,6,8,10,12,14",8,10958.427,85.979,86.513,86.955,87.483,86.04,11.623,256,496,58.0,75.0,17.0,3419,2032584,34,2682.5,4191.2,1079.6,42,256,,,
B_both_free,5,18,2026-07-18T23:19:15,unpinned,unpinned,16,unpinned,8,17700.48,100.952,103.841,105.768,114.628,101.413,9.861,256,496,72.0,79.0,7.0,24250,2192041,34,3887.0,3897.3,3285.7,42,256,1921985,38705.1,49.657
D_llmP_loadE,5,19,2026-07-18T23:20:24,"0,2,4,6,8,10,12,14",16-23,16,"0,2,4,6,8,10,12,14",8,11528.577,87.764,89.304,91.721,92.906,88.07,11.355,256,496,62.0,74.0,12.0,14909,2025924,34,2830.7,3880.6,3293.3,42,256,703162,17955.6,39.161
C_llmP_loadfree,5,20,2026-07-18T23:21:46,"0,2,4,6,8,10,12,14",unpinned,16,"0,2,4,6,8,10,12,14",8,17730.65,101.511,131.431,160.516,168.714,109.794,9.108,256,496,73.0,80.0,7.0,140847,2278936,34,3899.7,3905.8,3296.2,42,256,2012133,38914.8,51.706
B_both_free,6,21,2026-07-18T23:23:06,unpinned,unpinned,16,unpinned,8,17671.164,100.961,103.855,105.309,108.377,101.293,9.872,256,496,73.0,78.0,5.0,22108,2180336,34,3878.9,3884.2,3277.6,42,256,1920071,38709.5,49.602
C_llmP_loadfree,6,22,2026-07-18T23:24:27,"0,2,4,6,8,10,12,14",unpinned,16,"0,2,4,6,8,10,12,14",8,17760.993,102.304,124.583,126.227,127.616,109.407,9.14,256,496,73.0,78.0,5.0,124411,2274598,34,3904.0,3913.8,3301.8,42,256,2013228,38928.7,51.716
D_llmP_loadE,6,23,2026-07-18T23:25:36,"0,2,4,6,8,10,12,14",16-23,16,"0,2,4,6,8,10,12,14",8,11543.189,87.763,89.054,89.657,90.569,87.949,11.37,256,496,63.0,75.0,12.0,16050,2034152,34,2853.7,3897.1,3299.2,42,256,701194,17945.6,39.073
A_no_load,6,24,2026-07-18T23:26:43,"0,2,4,6,8,10,12,14",none,0,"0,2,4,6,8,10,12,14",8,11025.618,86.085,91.023,102.73,109.442,86.85,11.514,256,496,57.0,76.0,19.0,10664,2042189,34,2681.3,4174.3,1270.5,42,256,,,
