arm,round,timestamp,cpus,threads_decode,threads_batch,ttft_ms,prefill_tps,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,decode_tps,n_tokens,total_migrations,total_ctx_switches,energy_j,j_per_token,temp_start_c,temp_end_c,switch_detected,switch_lead_ms,switch_apply_cost_us,migration_burst_200ms,ctx_burst_200ms,itl_tail_mean_ms,itl_first10_ms,load_threads,load_cpus,load_rate,load_iters,competitor,build_wall_s
A_P8,1,2026-07-19T12:36:57,"0,2,4,6,8,10,12,14",8,8,12230.2,40.56,91.451,96.858,107.544,113.987,10.852,256,50060,2063594,3151.8,12.312,60.0,83.0,True,-107.5,,90,15963,92.166,"[88.59, 90.69, 88.33, 88.76, 90.15, 88.18, 109.17, 91.43, 92.98, 90.97]",0,none,,,build,37.73
SWITCH,1,2026-07-19T12:38:05,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,10594.12,46.82,86.418,91.057,93.54,96.798,11.446,256,13044,1997820,2898.9,11.324,63.0,85.0,True,-118.2,139.0,2639,16715,87.395,"[94.8, 92.38, 86.41, 86.49, 86.51, 86.93, 86.36, 86.21, 85.91, 85.95]",0,none,,,build,34.88
C_P8_E8,1,2026-07-19T12:39:16,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,10475.69,47.35,96.996,101.509,103.103,107.355,10.276,256,76412,4621869,3068.5,11.986,61.0,78.0,True,-102.8,,408,33054,97.315,"[102.36, 102.34, 97.06, 95.67, 95.2, 97.31, 97.54, 96.69, 99.31, 97.84]",0,none,,,build,37.29
SWITCH,2,2026-07-19T12:40:25,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,10483.89,47.31,85.732,86.649,89.833,90.38,11.637,256,8307,2009553,2859.1,11.168,61.0,84.0,True,-108.0,266.6,2215,17843,85.945,"[86.35, 86.11, 85.86, 85.6, 85.43, 85.39, 86.04, 85.76, 85.39, 86.14]",0,none,,,build,34.4
A_P8,2,2026-07-19T12:41:34,"0,2,4,6,8,10,12,14",8,8,11702.84,42.38,85.84,91.156,92.487,95.59,11.574,256,5612,2026667,2979.6,11.639,62.0,83.0,True,-116.4,,29,14413,85.972,"[95.59, 93.46, 92.67, 91.38, 91.61, 91.14, 91.22, 91.2, 91.09, 91.5]",0,none,,,build,35.74
C_P8_E8,2,2026-07-19T12:42:45,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,10503.41,47.22,96.961,100.773,103.147,104.992,10.298,256,79901,4542988,3091.0,12.074,62.0,80.0,True,-106.1,,579,33662,97.124,"[97.35, 95.45, 96.79, 94.51, 97.72, 97.93, 95.76, 96.55, 99.57, 97.06]",0,none,,,build,37.27
SWITCH,3,2026-07-19T12:43:53,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,10456.34,47.44,85.698,86.434,86.843,90.291,11.654,256,9452,2002864,2852.4,11.142,61.0,84.0,True,-137.5,308.4,2941,17075,85.8,"[90.29, 85.63, 85.69, 85.83, 85.87, 85.81, 85.31, 85.35, 85.32, 85.28]",0,none,,,build,34.34
C_P8_E8,3,2026-07-19T12:45:04,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,10467.85,47.38,96.848,100.594,102.024,104.99,10.308,256,72758,4533246,3118.9,12.183,61.0,81.0,True,-102.4,,461,33995,97.028,"[97.0, 99.18, 99.39, 94.0, 101.47, 96.19, 97.69, 98.55, 93.05, 96.19]",0,none,,,build,37.21
A_P8,3,2026-07-19T12:46:13,"0,2,4,6,8,10,12,14",8,8,11681.86,42.46,85.704,86.863,90.806,95.479,11.632,256,4606,2035509,2971.8,11.609,61.0,83.0,True,-114.8,,26,14525,85.816,"[95.48, 93.02, 91.54, 90.18, 89.28, 88.94, 89.09, 89.17, 86.93, 85.62]",0,none,,,build,35.61
SWITCH,4,2026-07-19T12:47:21,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,10475.96,47.35,85.6,86.408,87.035,88.259,11.666,256,8508,2006842,2849.8,11.132,61.0,84.0,True,-103.8,353.6,2158,17668,85.722,"[86.97, 86.01, 85.65, 85.49, 85.4, 85.34, 85.39, 85.36, 85.31, 85.36]",0,none,,,build,34.34
C_P8_E8,4,2026-07-19T12:48:31,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,10466.36,47.39,95.389,99.374,101.375,108.423,10.459,256,68021,4524397,3055.8,11.937,60.0,79.0,True,-102.1,,529,34405,95.645,"[97.17, 95.18, 95.33, 95.13, 94.0, 93.74, 91.78, 91.39, 93.51, 93.56]",0,none,,,build,36.85
A_P8,4,2026-07-19T12:49:41,"0,2,4,6,8,10,12,14",8,8,11783.5,42.09,85.502,86.236,87.247,87.731,11.684,256,5269,2033164,2970.1,11.602,62.0,83.0,True,-115.4,,22,16051,85.612,"[85.46, 85.09, 85.4, 84.91, 84.95, 85.28, 85.54, 85.43, 85.71, 85.22]",0,none,,,build,35.61
A_P8,5,2026-07-19T12:50:50,"0,2,4,6,8,10,12,14",8,8,11650.8,42.57,85.677,89.679,92.439,95.592,11.588,256,4375,2016549,2976.2,11.626,62.0,82.0,True,-103.7,,25,14696,85.992,"[95.59, 94.91, 91.94, 91.55, 89.23, 89.74, 89.3, 89.15, 89.16, 89.17]",0,none,,,build,35.66
SWITCH,5,2026-07-19T12:51:58,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,10462.0,47.41,85.7,86.395,87.226,87.894,11.656,256,8996,2006537,2853.4,11.146,62.0,84.0,True,-109.9,296.9,2315,17710,85.798,"[86.18, 85.71, 85.41, 85.35, 86.24, 85.6, 85.38, 86.0, 85.27, 85.31]",0,none,,,build,34.34
C_P8_E8,5,2026-07-19T12:53:09,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,10552.47,47.0,96.844,100.847,103.305,106.193,10.314,256,75588,4484110,3076.1,12.016,62.0,81.0,True,-107.5,,532,32939,96.996,"[97.32, 95.69, 94.83, 96.03, 99.6, 95.67, 94.53, 100.18, 99.29, 97.97]",0,none,,,build,37.28
SWITCH,6,2026-07-19T12:54:17,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,10550.18,47.01,85.941,86.838,87.644,88.458,11.618,256,9352,2031649,2867.7,11.202,61.0,84.0,True,-118.3,207.7,2467,17618,86.075,"[86.77, 87.36, 85.64, 85.56, 85.72, 86.01, 85.93, 86.12, 86.1, 85.88]",0,none,,,build,34.5
C_P8_E8,6,2026-07-19T12:55:28,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,10561.49,46.96,95.871,100.03,102.228,108.175,10.399,256,76586,4569515,3081.7,12.038,62.0,79.0,True,-99.5,,684,33905,96.207,"[99.14, 95.29, 92.56, 95.0, 93.0, 95.21, 93.25, 99.07, 96.94, 93.54]",0,none,,,build,37.09
A_P8,6,2026-07-19T12:56:38,"0,2,4,6,8,10,12,14",8,8,11828.21,41.93,86.405,91.474,96.647,115.41,11.469,256,12983,2040799,3009.4,11.755,62.0,82.0,True,-102.9,,58,15134,87.018,"[95.15, 92.06, 91.85, 90.12, 90.87, 90.76, 90.33, 89.98, 89.8, 90.92]",0,none,,,build,36.06
