arm,round,timestamp,cpus,threads_decode,threads_batch,ttft_ms,prefill_tps,itl_p50_ms,itl_p95_ms,itl_p99_ms,itl_max_ms,decode_tps,n_tokens,total_migrations,total_ctx_switches,energy_j,j_per_token,temp_start_c,temp_end_c,switch_detected,switch_lead_ms,switch_apply_cost_us,migration_burst_200ms,ctx_burst_200ms,itl_tail_mean_ms,itl_first10_ms,load_threads,load_cpus,load_rate,load_iters,competitor,build_wall_s
A_P8,1,2026-07-19T13:19:08,"0,2,4,6,8,10,12,14",8,8,10987.98,45.14,85.881,90.364,94.259,109.969,11.548,256,9254,2034705,2812.3,10.985,61.0,81.0,True,-115.8,,30,14666,86.503,"[94.87, 92.17, 91.17, 90.6, 89.18, 88.88, 89.06, 89.63, 85.91, 85.43]",0,none,,,none,
SWITCH,1,2026-07-19T13:20:13,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,9760.46,50.82,85.748,86.594,89.407,90.354,11.642,256,7934,2002828,2681.5,10.475,62.0,81.0,True,-102.9,320.9,2092,18011,85.906,"[86.49, 85.58, 85.51, 86.28, 85.75, 85.57, 85.59, 85.48, 85.51, 86.46]",0,none,,,none,
C_P8_E8,1,2026-07-19T13:21:21,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,9810.47,50.56,95.833,100.026,104.193,106.903,10.4,256,74793,4621632,2898.5,11.322,62.0,78.0,True,-108.2,,459,34092,96.179,"[96.18, 95.43, 97.98, 100.01, 93.14, 100.5, 95.38, 96.83, 97.84, 96.0]",0,none,,,none,
SWITCH,2,2026-07-19T13:22:26,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,9801.15,50.61,85.761,86.831,88.121,89.066,11.641,256,8875,2001373,2684.2,10.485,62.0,84.0,True,-108.8,205.0,2142,17351,85.93,"[87.37, 85.65, 85.63, 85.52, 85.26, 85.37, 85.26, 85.23, 85.22, 85.39]",0,none,,,none,
A_P8,2,2026-07-19T13:23:33,"0,2,4,6,8,10,12,14",8,8,11106.18,44.66,85.786,89.699,91.466,94.502,11.586,256,4314,2021794,2813.6,10.99,63.0,84.0,True,-108.8,,9,14971,85.965,"[94.5, 92.14, 91.32, 91.64, 91.16, 90.84, 90.11, 89.9, 89.73, 89.58]",0,none,,,none,
C_P8_E8,2,2026-07-19T13:24:41,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,9777.64,50.73,95.961,99.367,100.239,100.655,10.403,256,73749,4501089,2890.4,11.291,62.0,79.0,True,-112.3,,717,33850,96.149,"[95.23, 96.32, 92.84, 99.52, 94.37, 96.42, 93.97, 97.36, 95.12, 95.16]",0,none,,,none,
SWITCH,3,2026-07-19T13:25:46,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,9756.9,50.84,85.814,86.463,87.223,87.65,11.645,256,8200,2003303,2678.3,10.462,61.0,82.0,True,-114.3,306.1,2490,17739,85.862,"[86.83, 85.6, 86.73, 85.44, 85.42, 87.56, 85.66, 85.83, 86.18, 85.61]",0,none,,,none,
C_P8_E8,3,2026-07-19T13:26:54,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,9713.37,51.06,96.249,100.314,101.163,101.767,10.37,256,76491,4586928,2897.6,11.319,62.0,78.0,True,-108.1,,748,34155,96.478,"[98.33, 98.08, 94.97, 98.39, 96.26, 94.13, 97.44, 94.38, 92.94, 94.62]",0,none,,,none,
A_P8,3,2026-07-19T13:28:01,"0,2,4,6,8,10,12,14",8,8,11119.25,44.61,86.168,88.735,94.414,99.5,11.552,256,7813,2041513,2821.6,11.022,62.0,82.0,True,-107.1,,82,15039,86.398,"[95.19, 94.2, 93.18, 91.87, 90.96, 90.37, 90.58, 86.51, 85.94, 87.27]",0,none,,,none,
SWITCH,4,2026-07-19T13:29:06,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",8,16,9764.09,50.8,85.721,86.567,89.601,89.932,11.646,256,8114,2005588,2677.8,10.46,62.0,84.0,True,-122.4,211.5,2517,17465,85.87,"[86.2, 85.59, 85.38, 85.31, 85.48, 85.93, 85.99, 85.5, 85.94, 86.27]",0,none,,,none,
C_P8_E8,4,2026-07-19T13:30:14,"0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23",16,16,9730.64,50.97,96.624,99.954,101.397,101.936,10.342,256,73154,4712230,2883.8,11.265,62.0,78.0,True,-101.8,,439,35898,96.733,"[93.87, 97.09, 94.91, 92.48, 99.89, 98.31, 94.46, 95.15, 95.07, 95.65]",0,none,,,none,
A_P8,4,2026-07-19T13:31:21,"0,2,4,6,8,10,12,14",8,8,11053.33,44.87,85.797,87.17,89.773,90.063,11.623,256,4166,2007763,2805.4,10.959,63.0,84.0,True,-116.4,,19,15142,86.026,"[90.0, 89.4, 87.72, 85.63, 85.59, 85.67, 85.35, 85.31, 85.56, 85.36]",0,none,,,none,
